"scientific.name","common.name","observed.on","location","latitude","longitude","positional.accuracy","url"
"Cypripedium acaule","White-flowered Pink Lady's-slipper","2022-06-03","Patten, ME 04765, USA",45.95713375,-68.7541677222,NA,"https://www.inaturalist.org/observations/120583690"
"Cypripedium acaule","pink lady's slipper","2022-06-02","Penobscot County, US-ME, US",45.9575591299,-68.6779525468,87,"https://www.inaturalist.org/observations/121647262"
"Fraxinus nigra","black ash","2021-10-09","Katahdin Woods and Waters National Monument, Patten, ME, US",46.0803833333,-68.7732383333,4,"https://www.inaturalist.org/observations/97843314"
"Lonicera canadensis","American fly-honeysuckle","2021-10-09","Katahdin Woods and Waters National Monument, Patten, ME, US",46.0720971667,-68.7663333333,4,"https://www.inaturalist.org/observations/97846277"
"Cypripedium acaule","pink lady's slipper","2021-07-18","Penobscot County, US-ME, US",45.86888122,-68.67952227,9,"https://www.inaturalist.org/observations/87992924"
"Asclepias syriaca","common milkweed","2021-07-08","Penobscot County, US-ME, US",45.92210838,-68.76332137,4,"https://www.inaturalist.org/observations/86625565"
"Heracleum maximum","common cowparsnip","2021-07-02","Katahdin Woods and Waters National Monument, Stacyville, ME, US",45.930938645,-68.7671583029,434,"https://www.inaturalist.org/observations/85736386"
"Cypripedium acaule","pink lady's slipper","2021-06-07","Katahdin Woods and Waters National Monument, Stacyville, ME, US",45.8623466667,-68.6742383333,12,"https://www.inaturalist.org/observations/83599048"
"Cypripedium acaule","pink lady's slipper","2021-06-03","North Penobscot, ME, USA",45.8794979722,-68.7797217222,NA,"https://www.inaturalist.org/observations/97673619"
"Cypripedium acaule","pink lady's slipper","2021-06-03","North Penobscot, ME, USA",45.8791666667,-68.7794444444,NA,"https://www.inaturalist.org/observations/97674326"
"Lonicera canadensis","American fly-honeysuckle","2021-05-14","Penobscot County, ME, USA",46.057875,-68.74752,NA,"https://www.inaturalist.org/observations/101920374"
"Typha latifolia","broad-leaved cattail","2020-08-01","Patten, ME 04765, USA",46.0054375556,-68.6106134167,NA,"https://www.inaturalist.org/observations/97679877"
"Cypripedium acaule","White-flowered Pink Lady's-slipper","2020-06-12","Katahdin Woods and Waters National Monument, Patten, ME, US",45.988432596,-68.5612543219,2572,"https://www.inaturalist.org/observations/49393246"
"Cypripedium acaule","pink lady's slipper","2019-09-17","Penobscot, ME 04476, USA",45.8789746,-68.7475189,182,"https://www.inaturalist.org/observations/33041020"
