"scientific.name","common.name","observed.on","location","latitude","longitude","positional.accuracy","url"
"Dasiphora fruticosa","shrubby cinquefoil","2023-09-24","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3619995117,-68.2077636719,837,"https://www.inaturalist.org/observations/184908638"
"Solidago flexicaulis","broad-leaved goldenrod","2023-09-23","Acadia National Park, Bar Harbor, ME, US",44.3404216667,-68.2378533333,4,"https://www.inaturalist.org/observations/184804270"
"Dasiphora fruticosa","shrubby cinquefoil","2023-09-21","Mt Desert, ME 04660, USA",44.3303916667,-68.2630833333,NA,"https://www.inaturalist.org/observations/184389126"
"Woodsia ilvensis","rusty woodsia","2023-09-21","Mt Desert, ME 04660, USA",44.3303916667,-68.2630833333,NA,"https://www.inaturalist.org/observations/184389166"
"Epigaea repens","trailing arbutus","2023-09-21","Mt Desert, ME 04660, USA",44.3327416667,-68.2629611111,NA,"https://www.inaturalist.org/observations/184389742"
"Danaus plexippus","Monarch","2023-09-19","Acadia National Park, Bar Harbor, ME, US",44.3764405093,-68.2494784333,8,"https://www.inaturalist.org/observations/184244408"
"Danaus plexippus","Monarch","2023-09-15","Mt Desert, ME 04660, USA",44.3146385122,-68.1949415803,2206,"https://www.inaturalist.org/observations/183364584"
"Danaus plexippus","Monarch","2023-09-15","Acadia National Park, Bar Harbor, ME, US",44.3070119863,-68.1920796209,22,"https://www.inaturalist.org/observations/183838138"
"Chelone glabra","white turtlehead","2023-09-12","Maine",44.3385559,-68.2733346,16108,"https://www.inaturalist.org/observations/184147343"
"Danaus plexippus","Monarch","2023-09-11","Acadia National Park, Birch Harbor, ME, US",44.3366019994,-68.0566582939,193,"https://www.inaturalist.org/observations/182868136"
"Verbena hastata","blue vervain","2023-09-10","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3203691212,-68.2543064806,19,"https://www.inaturalist.org/observations/182741763"
"Pinus resinosa","red pine","2023-09-10","Southwest Harbor, ME, USA",44.3125369722,-68.3476072778,NA,"https://www.inaturalist.org/observations/183854681"
"Epigaea repens","trailing arbutus","2023-09-08","Mt Desert, ME 04660, USA",44.32404771,-68.29119587,9,"https://www.inaturalist.org/observations/182367726"
"Corema conradii","broom crowberry","2023-09-08","Birch Harbor, ME, US",44.3721474777,-68.0580230952,4,"https://www.inaturalist.org/observations/182400579"
"Corema conradii","broom crowberry","2023-09-08","Birch Harbor, ME, US",44.3693214885,-68.0503827897,4,"https://www.inaturalist.org/observations/182400732"
"Rhodiola rosea","Roseroot","2023-09-07","Acadia National Park, Winter Harbor, ME, US",44.33253,-68.0509805,7,"https://www.inaturalist.org/observations/182241069"
"Platanthera clavellata","small green wood orchid","2023-09-06","Acadia National Park, Hancock County, US-ME, US",44.3558301315,-68.2362737426,5,"https://www.inaturalist.org/observations/182188684"
"Verbena hastata","blue vervain","2023-09-03","Acadia National Park",44.3401783367,-68.2557582744,4846,"https://www.inaturalist.org/observations/181677089"
"Verbena hastata","blue vervain","2023-09-02","Acadia National Park, Mount Desert, ME, US",44.3208916667,-68.254075,5,"https://www.inaturalist.org/observations/182684853"
"Danaus plexippus","Monarch","2023-09-01","schoodic institute",44.3439188423,-68.0577109223,1017,"https://www.inaturalist.org/observations/181259719"
"Medeola virginiana","Cucumber Root","2023-08-29","Bar Harbor, ME 04609, USA",44.3455956,-68.2064902997,NA,"https://www.inaturalist.org/observations/180802674"
"Andropogon gerardi","big bluestem","2023-08-29","Birch Harbor, ME, US",44.3829333333,-68.0656805,5,"https://www.inaturalist.org/observations/180807538"
"Cypripedium acaule","pink lady's slipper","2023-08-27","Mt Desert, ME 04660, USA",44.324263,-68.2195099722,NA,"https://www.inaturalist.org/observations/201781225"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2023-08-26","Acadia National Park, Southwest Harbor, ME, US",44.2326966667,-68.318505,4,"https://www.inaturalist.org/observations/180534279"
"Danaus plexippus","Monarch","2023-08-26","Gouldsboro, ME, USA",44.3983812709,-68.207366537,68,"https://www.inaturalist.org/observations/180727327"
"Teucrium canadense","American germander","2023-08-24","Hancock County, US-ME, US",44.3268589255,-68.2132729544,NA,"https://www.inaturalist.org/observations/180835354"
"Medeola virginiana","Cucumber Root","2023-08-24","Mt Desert, ME, USA",44.3227087238,-68.2524547744,122,"https://www.inaturalist.org/observations/180856586"
"Epigaea repens","trailing arbutus","2023-08-22","Mt Desert, ME 04660, USA",44.3305871,-68.2885777997,NA,"https://www.inaturalist.org/observations/179733774"
"Monotropa hypopitys","pinesap","2023-08-22","Mt Desert, ME 04675, USA",44.3217336932,-68.2601269707,29122,"https://www.inaturalist.org/observations/180008224"
"Danaus plexippus","Monarch","2023-08-22","Gouldsboro, ME, USA",44.39755982,-68.2096555775,8,"https://www.inaturalist.org/observations/188952457"
"Monotropa hypopitys","pinesap","2023-08-21","Bar Harbor, ME 04609, USA",44.409204,-68.249983,NA,"https://www.inaturalist.org/observations/179762525"
"Trillium undulatum","painted trillium","2023-08-20","Acadia National Park, Mount Desert, ME, US",44.3240466667,-68.251,4,"https://www.inaturalist.org/observations/179433557"
"Monotropa hypopitys","pinesap","2023-08-20","Acadia National Park, Mount Desert, ME, US",44.3226783333,-68.2528616667,3,"https://www.inaturalist.org/observations/179433634"
"Cypripedium acaule","pink lady's slipper","2023-08-20","Acadia National Park, Mount Desert, ME, US",44.3244366667,-68.2199333333,4,"https://www.inaturalist.org/observations/179460464"
"Monotropa hypopitys","pinesap","2023-08-18","Acadia National Park, Southwest Harbor, ME, US",44.315595,-68.3452383333,4,"https://www.inaturalist.org/observations/178985804"
"Monotropa hypopitys","pinesap","2023-08-18","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3669183739,-68.212753879,4,"https://www.inaturalist.org/observations/179043387"
"Monotropa hypopitys","pinesap","2023-08-17","Acadia National Park, Mount Desert, ME, US",44.3122157015,-68.2860514172,159,"https://www.inaturalist.org/observations/178852836"
"Epigaea repens","trailing arbutus","2023-08-17","Mt Desert, ME 04660, USA",44.3238239,-68.2846792997,NA,"https://www.inaturalist.org/observations/178885125"
"Monotropa hypopitys","pinesap","2023-08-17","Acadia National Park, Bar Harbor, ME, US",44.32182,-68.1930783333,4,"https://www.inaturalist.org/observations/178931760"
"Monotropa hypopitys","pinesap","2023-08-17","Bar Harbor",44.3218307495,-68.1930770874,NA,"https://www.inaturalist.org/observations/178932896"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2023-08-15","Acadia National Park, Southwest Harbor, ME, US",44.2301174161,-68.3218767029,5,"https://www.inaturalist.org/observations/179886871"
"Danaus plexippus","Monarch","2023-08-13","Bar Harbor, ME 04609, USA",44.3976389722,-68.2096789722,NA,"https://www.inaturalist.org/observations/178446784"
"Capnoides sempervirens","rock harlequin","2023-08-13","Mt Desert, ME, USA",44.3418294213,-68.2547099405,1829,"https://www.inaturalist.org/observations/178927284"
"Monotropa hypopitys","pinesap","2023-08-12","Bar Harbor, ME 04609, USA",44.3544369722,-68.2113709722,NA,"https://www.inaturalist.org/observations/178446094"
"Epigaea repens","trailing arbutus","2023-08-12","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.38937353,-68.24721285,6,"https://www.inaturalist.org/observations/179004952"
"Monotropa hypopitys","pinesap","2023-08-11","Acadia National Park, Bar Harbor, ME, US",44.3770116667,-68.2511283333,25,"https://www.inaturalist.org/observations/177913986"
"Danaus plexippus","Monarch","2023-08-10","Acadia National Park, Bar Harbor, ME, US",44.397625,-68.2095333333,3,"https://www.inaturalist.org/observations/177849317"
"Rhodiola rosea","Roseroot","2023-08-09","Acadia National Park, Birch Harbor, ME, US",44.3359651789,-68.0668080971,6,"https://www.inaturalist.org/observations/177495676"
"Asclepias syriaca","common milkweed","2023-08-09","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3619727996,-68.2079901081,166,"https://www.inaturalist.org/observations/177537867"
"Monotropa hypopitys","pinesap","2023-08-09","Southwest Harbor, ME 04679, USA",44.2951519774,-68.3633024991,128,"https://www.inaturalist.org/observations/177543095"
"Monotropa hypopitys","pinesap","2023-08-08","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3667847244,-68.2128406317,4,"https://www.inaturalist.org/observations/177353254"
"Monotropa hypopitys","pinesap","2023-08-08","Acadia National Park, Southwest Harbor, ME, US",44.3132383333,-68.3398666667,4,"https://www.inaturalist.org/observations/177360318"
"Monotropa hypopitys","pinesap","2023-08-08","Hancock County, US-ME, US",44.3737510189,-68.2070146471,23216,"https://www.inaturalist.org/observations/177486969"
"Platanthera clavellata","small green wood orchid","2023-08-08","Bar Harbor, ME, USA",44.3325298538,-68.1861165149,662,"https://www.inaturalist.org/observations/177496074"
"Euthamia graminifolia","flat-topped goldenrod","2023-08-08","Bar Harbor, ME, USA",44.332712668,-68.1838249881,237,"https://www.inaturalist.org/observations/191059585"
"Danaus plexippus","Monarch","2023-08-07","Bar Harbor, ME 04609, USA",44.3975555556,-68.2097083333,NA,"https://www.inaturalist.org/observations/177352724"
"Rhodiola rosea","Roseroot","2023-08-05","Acadia National Park, Birch Harbor, ME, US",44.3325096555,-68.0606106856,5,"https://www.inaturalist.org/observations/176783758"
"Bombus terricola","Yellow-banded Bumble Bee","2023-08-05","Acadia National Park, Birch Harbor, ME, US",44.3362533333,-68.0617666667,4,"https://www.inaturalist.org/observations/176821932"
"Danaus plexippus","Monarch","2023-08-05","Winter Harbor, ME, USA",44.3364416667,-68.0618666667,4,"https://www.inaturalist.org/observations/176844786"
"Bombus terricola","Yellow-banded Bumble Bee","2023-08-05","Winter Harbor, ME, USA",44.3362777778,-68.0617916667,4,"https://www.inaturalist.org/observations/176845334"
"Bombus terricola","Yellow-banded Bumble Bee","2023-08-05","Acadia National Park, Birch Harbor, ME, US",44.3362466667,-68.0617666667,4,"https://www.inaturalist.org/observations/176846697"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2023-08-04","Bar Harbor",44.3620872498,-68.2078781128,443,"https://www.inaturalist.org/observations/176596441"
"Bombus terricola","Yellow-banded Bumble Bee","2023-08-03","Winter Harbor, ME 04693, USA",44.3486159722,-68.0463469722,NA,"https://www.inaturalist.org/observations/176493342"
"Rhodiola rosea","Roseroot","2023-08-03","Winter Harbor, ME 04693, USA",44.332396,-68.0603059722,NA,"https://www.inaturalist.org/observations/176511695"
"Monotropa hypopitys","pinesap","2023-08-03","Acadia National Park, Bar Harbor, ME, US",44.3668283333,-68.2127916667,4,"https://www.inaturalist.org/observations/176773898"
"Rhodiola rosea","Roseroot","2023-08-03","Acadia National Park, Birch Harbor, ME, US",44.3359,-68.0669471667,46,"https://www.inaturalist.org/observations/176869342"
"Rubus dalibarda","dewdrop","2023-08-02","Acadia National Park, Mount Desert, ME, US",44.31173,-68.3182,18406,"https://www.inaturalist.org/observations/176294225"
"Lilium philadelphicum","Wood Lily","2023-08-02","Acadia National Park, Mount Desert, ME, US",44.3377533333,-68.2716616667,4,"https://www.inaturalist.org/observations/177032547"
"Trichophorum cespitosum","Tufted Bulrush","2023-08-02","Acadia National Park, Mount Desert, ME, US",44.3396,-68.2719283333,4,"https://www.inaturalist.org/observations/177032702"
"Lilium philadelphicum","Wood Lily","2023-08-01","Mt Desert, ME 04660, USA",44.343772,-68.2736639722,NA,"https://www.inaturalist.org/observations/176166631"
"Asclepias syriaca","common milkweed","2023-08-01","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3620911363,-68.2078705797,41,"https://www.inaturalist.org/observations/176198195"
"Euthamia graminifolia","flat-topped goldenrod","2023-07-31","Winter Harbor, ME, USA",44.3547055482,-68.0477238598,8,"https://www.inaturalist.org/observations/177435238"
"Asclepias syriaca","common milkweed","2023-07-30","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3203735352,-68.2535705566,65,"https://www.inaturalist.org/observations/175785505"
"Medeola virginiana","Cucumber Root","2023-07-30","Acadia National Park, Mount Desert, ME, US",44.3306441639,-68.2580778432,619,"https://www.inaturalist.org/observations/175804728"
"Medeola virginiana","Cucumber Root","2023-07-30","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3221130371,-68.2521209717,4,"https://www.inaturalist.org/observations/175807211"
"Euthamia graminifolia","flat-topped goldenrod","2023-07-30","Mount Desert",44.3313293457,-68.2836914063,4,"https://www.inaturalist.org/observations/175824390"
"Lilium philadelphicum","Wood Lily","2023-07-29","Mount Desert",44.338218689,-68.2719573975,1,"https://www.inaturalist.org/observations/175529222"
"Lilium philadelphicum","Wood Lily","2023-07-28","Skillings River, Bar Harbor, ME, US",44.3282919806,-68.1743895365,15,"https://www.inaturalist.org/observations/179023275"
"Lilium philadelphicum","Wood Lily","2023-07-28","Acadia National Park, Bar Harbor, ME, US",44.3283512504,-68.1744039386,8,"https://www.inaturalist.org/observations/179023356"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2023-07-26","Acadia National Park, Isle au Haut, ME, US",44.0566221667,-68.6344216667,3,"https://www.inaturalist.org/observations/177450709"
"Medeola virginiana","Cucumber Root","2023-07-25","Acadia National Park, Bar Harbor, ME, US",44.3521357522,-68.2053837868,5,"https://www.inaturalist.org/observations/174897003"
"Euthamia graminifolia","flat-topped goldenrod","2023-07-25","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3357243593,-68.1922261341,24,"https://www.inaturalist.org/observations/175223293"
"Asclepias syriaca","common milkweed","2023-07-24","Acadia National Park, Bar Harbor, ME, US",44.3765666667,-68.250205,8,"https://www.inaturalist.org/observations/174976417"
"Lilium philadelphicum","Wood Lily","2023-07-23","Acadia National Park, Mount Desert, ME, US",44.3438442918,-68.2712487267,819,"https://www.inaturalist.org/observations/174970419"
"Lilium philadelphicum","Wood Lily","2023-07-21","Mt Desert, ME 04660, USA",44.3379468633,-68.271895498,188,"https://www.inaturalist.org/observations/174165586"
"Lilium philadelphicum","Wood Lily","2023-07-19","Acadia National Park, Mount Desert, ME, US",44.3421633333,-68.2682283333,4,"https://www.inaturalist.org/observations/173792403"
"Goodyera pubescens","downy rattlesnake plantain","2023-07-19","Hancock County, US-ME, US",44.3457092455,-68.2420056645,176,"https://www.inaturalist.org/observations/173837102"
"Monotropa hypopitys","pinesap","2023-07-17","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.360464991,-68.198944442,80,"https://www.inaturalist.org/observations/173401820"
"Trillium undulatum","painted trillium","2023-07-17","Acadia National Park, Mount Desert, ME, US",44.3311815515,-68.2512286153,1365,"https://www.inaturalist.org/observations/173581865"
"Polygala sanguinea","field milkwort","2023-07-17","Acadia National Park, Bar Harbor, ME, US",44.3891616667,-68.2428133333,4,"https://www.inaturalist.org/observations/176279418"
"Asclepias syriaca","common milkweed","2023-07-16","Bar Harbor",44.3975219727,-68.2096939087,4,"https://www.inaturalist.org/observations/173281619"
"Epigaea repens","trailing arbutus","2023-07-16","Mt Desert, ME, USA",44.3318997901,-68.2827443438,31,"https://www.inaturalist.org/observations/174380531"
"Lilium philadelphicum","Wood Lily","2023-07-16","Mt Desert, ME, USA",44.3391281375,-68.2727030806,15,"https://www.inaturalist.org/observations/174380545"
"Monotropa hypopitys","pinesap","2023-07-15","Bar Harbor, ME 04609, USA",44.4122196381,-68.269488886,53,"https://www.inaturalist.org/observations/173012831"
"Taxus canadensis","Canada yew","2023-07-12","Acadia National Park, Mount Desert, ME, US",44.3347783333,-68.2802283333,4,"https://www.inaturalist.org/observations/172858117"
"Asclepias syriaca","common milkweed","2023-07-11","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.37655542,-68.25019557,5,"https://www.inaturalist.org/observations/172524900"
"Asclepias syriaca","common milkweed","2023-07-10","Winter Harbor, ME 04693, USA",44.36517253,-68.04831662,7,"https://www.inaturalist.org/observations/173310677"
"Lysimachia maritima","Sea Milkwort","2023-07-08","Acadia National Park, Birch Harbor, ME, US",44.3407465429,-68.0676820937,93,"https://www.inaturalist.org/observations/171869982"
"Rhodiola rosea","Roseroot","2023-07-08","Acadia National Park, Winter Harbor, ME, US",44.3321383333,-68.0509111667,7,"https://www.inaturalist.org/observations/173139294"
"Monotropa hypopitys","pinesap","2023-07-06","Acadia National Park, Isle au Haut, ME, US",44.0153416667,-68.6483783333,4,"https://www.inaturalist.org/observations/171824406"
"Asclepias syriaca","common milkweed","2023-07-06","Bar Harbor, ME 04609, USA",44.3975571,-68.209665,NA,"https://www.inaturalist.org/observations/177925019"
"Monotropa hypopitys","pinesap","2023-07-04","Acadia National Park, Mount Desert, ME, US",44.3232040436,-68.3193738803,182,"https://www.inaturalist.org/observations/171138982"
"Asclepias syriaca","common milkweed","2023-07-03","Bar Island, Acadia National Park, Hancock County, US-ME, US",44.3975524902,-68.2097015381,79,"https://www.inaturalist.org/observations/170907482"
"Epigaea repens","trailing arbutus","2023-07-03","Bar Harbor, ME, USA",44.352589714,-68.2460200314,244,"https://www.inaturalist.org/observations/171044752"
"Epigaea repens","trailing arbutus","2023-07-03","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3659833181,-68.2557971058,4,"https://www.inaturalist.org/observations/172042152"
"Monotropa hypopitys","pinesap","2023-07-02","Acadia National Park, Bar Harbor, ME, US",44.3976926226,-68.2472391087,216,"https://www.inaturalist.org/observations/170700835"
"Monotropa hypopitys","pinesap","2023-07-02","Isle Au Haut, ME 04645, USA",44.0154083333,-68.6484138889,NA,"https://www.inaturalist.org/observations/170708916"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2023-07-02","Acadia National Park, Southwest Harbor, ME, US",44.2345794882,-68.3127683024,134,"https://www.inaturalist.org/observations/170764037"
"Monotropa hypopitys","pinesap","2023-07-02","Bar Harbor, ME, USA",44.3935888889,-68.2518305556,30,"https://www.inaturalist.org/observations/193721780"
"Monotropa hypopitys","pinesap","2023-07-01","Southwest Harbor, ME 04679, USA",44.2801277778,-68.3423861111,NA,"https://www.inaturalist.org/observations/170484677"
"Monotropa hypopitys","pinesap","2023-07-01","Acadia National Park, Southwest Harbor, ME, US",44.2989616667,-68.34413,4,"https://www.inaturalist.org/observations/170499876"
"Rhodiola rosea","Roseroot","2023-07-01","Acadia National Park, Birch Harbor, ME, US",44.3646583333,-68.0625138333,9060,"https://www.inaturalist.org/observations/170518653"
"Lysimachia maritima","Sea Milkwort","2023-06-30","Hancock County, US-ME, US",44.3193838196,-68.2622671152,NA,"https://www.inaturalist.org/observations/170351036"
"Epigaea repens","trailing arbutus","2023-06-30","Southwest Harbor, ME 04679, USA",44.3110833333,-68.3432916667,NA,"https://www.inaturalist.org/observations/170356576"
"Rhodiola rosea","Roseroot","2023-06-29","Mount Desert Island, Bar Harbor, ME, US",44.3351628549,-68.0656006876,8,"https://www.inaturalist.org/observations/170116407"
"Medeola virginiana","Cucumber Root","2023-06-29","Mt Desert, ME, USA",44.326849102,-68.2428681497,749,"https://www.inaturalist.org/observations/170582937"
"Rhodiola rosea","Roseroot","2023-06-28","Acadia National Park, Birch Harbor, ME, US",44.3335899984,-68.063009515,16,"https://www.inaturalist.org/observations/169966312"
"Rhodiola rosea","Roseroot","2023-06-28","Acadia National Park, Birch Harbor, ME, US",44.3333860673,-68.0631418527,4,"https://www.inaturalist.org/observations/169973710"
"Trillium undulatum","painted trillium","2023-06-26","Bar Harbor, ME 04609, USA",44.3489083333,-68.2523861111,NA,"https://www.inaturalist.org/observations/169630285"
"Asclepias syriaca","common milkweed","2023-06-26","Winter Harbor, ME 04693, USA",44.3367819,-68.0620151,77,"https://www.inaturalist.org/observations/169639470"
"Dasiphora fruticosa","shrubby cinquefoil","2023-06-26","Acadia National Park, Bar Harbor, ME, US",44.3624416667,-68.2081133333,4,"https://www.inaturalist.org/observations/169871967"
"Rubus dalibarda","dewdrop","2023-06-26","Acadia National Park, Bar Harbor, ME, US",44.362555,-68.208145,4,"https://www.inaturalist.org/observations/194596718"
"Asclepias syriaca","common milkweed","2023-06-25","Acadia National Park, Bar Harbor, ME, US",44.3976535732,-68.2092203439,4,"https://www.inaturalist.org/observations/169380429"
"Asclepias syriaca","common milkweed","2023-06-25","Acadia National Park, Bar Harbor, ME, US",44.397645,-68.20922,4,"https://www.inaturalist.org/observations/169519826"
"Epigaea repens","trailing arbutus","2023-06-24","Bar Harbor, ME, USA",44.3582846845,-68.2074622415,634,"https://www.inaturalist.org/observations/171108254"
"Medeola virginiana","Cucumber Root","2023-06-24","Bar Harbor, ME, USA",44.3582846845,-68.2074622415,634,"https://www.inaturalist.org/observations/171108287"
"Epigaea repens","trailing arbutus","2023-06-23","Bar Harbor, ME 04609, USA",44.35805404,-68.20913657,9,"https://www.inaturalist.org/observations/169095376"
"Cypripedium acaule","pink lady's slipper","2023-06-23","Bar Harbor, ME 04609, USA",44.3392892458,-68.2219356671,13,"https://www.inaturalist.org/observations/169096303"
"Asclepias syriaca","common milkweed","2023-06-23","Acadia National Park, Bar Harbor, ME, US",44.36662,-68.2042916667,5964,"https://www.inaturalist.org/observations/169205720"
"Medeola virginiana","Cucumber Root","2023-06-21","Acadia National Park, Mount Desert, ME, US",44.323605,-68.2529616667,3,"https://www.inaturalist.org/observations/168673147"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2023-06-20","Southwest Harbor, ME 04679, USA",44.2326683,-68.3184841,NA,"https://www.inaturalist.org/observations/168514231"
"Maianthemum racemosum","Solomon's plume","2023-06-20","Acadia National Park, Bar Harbor, ME, US",44.362355,-68.2075416667,20,"https://www.inaturalist.org/observations/168539217"
"Maianthemum racemosum","Solomon's plume","2023-06-20","Acadia National Park, Bar Harbor, ME, US",44.3626666667,-68.2080216667,4,"https://www.inaturalist.org/observations/168539233"
"Medeola virginiana","Cucumber Root","2023-06-20","Acadia National Park, Bar Harbor, ME, US",44.362475,-68.2080216667,4,"https://www.inaturalist.org/observations/168539504"
"Cypripedium acaule","pink lady's slipper","2023-06-20","Mt Desert, ME 04660, USA",44.3107055556,-68.2224638889,NA,"https://www.inaturalist.org/observations/168579809"
"Trillium cernuum","nodding trillium","2023-06-20","Acadia National Park, Bar Harbor, ME, US",44.3625333333,-68.2081383333,14,"https://www.inaturalist.org/observations/168820193"
"Medeola virginiana","Cucumber Root","2023-06-19","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3624099972,-68.2079749673,24,"https://www.inaturalist.org/observations/168358510"
"Lysimachia maritima","Sea Milkwort","2023-06-19","Winter Harbor, ME 04693, USA",44.340789,-68.0660029722,NA,"https://www.inaturalist.org/observations/168366989"
"Lysimachia maritima","Sea Milkwort","2023-06-19","Winter Harbor, ME 04693, USA",44.3410879134,-68.064712286,129,"https://www.inaturalist.org/observations/168582559"
"Asplenium trichomanes","maidenhair spleenwort","2023-06-19","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.36255395,-68.2082475122,344,"https://www.inaturalist.org/observations/168971201"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2023-06-15","Acadia National Park, Isle au Haut, ME, US",44.01531945,-68.6484966667,5,"https://www.inaturalist.org/observations/167619633"
"Rhodiola rosea","Roseroot","2023-06-14","Acadia National Park, Birch Harbor, ME, US",44.335009181,-68.065577047,3,"https://www.inaturalist.org/observations/167381049"
"Rhodiola rosea","Roseroot","2023-06-14","Acadia National Park, Winter Harbor, ME, US",44.3326133333,-68.0512166667,10,"https://www.inaturalist.org/observations/167404440"
"Rhodiola rosea","Roseroot","2023-06-14","Little Moose Island",44.3334132775,-68.0500050634,1551,"https://www.inaturalist.org/observations/167460436"
"Rhodiola rosea","Roseroot","2023-06-13","Winter Harbor, ME, USA",44.3326283442,-68.0592175344,392,"https://www.inaturalist.org/observations/169559717"
"Cypripedium acaule","pink lady's slipper","2023-06-12","Mount Desert",44.3101081848,-68.203918457,410,"https://www.inaturalist.org/observations/167103948"
"Rhodiola rosea","Roseroot","2023-06-12","Acadia National Park, Winter Harbor, ME, US",44.3311166667,-68.0491638333,4,"https://www.inaturalist.org/observations/167175205"
"Rhodiola rosea","Roseroot","2023-06-11","Acadia National Park, Winter Harbor, ME, US",44.3326833333,-68.0511638333,4,"https://www.inaturalist.org/observations/166848219"
"Rhodiola rosea","Roseroot","2023-06-10","Winter Harbor, ME 04693, USA",44.3367349038,-68.0675446987,305,"https://www.inaturalist.org/observations/166668453"
