"scientific.name","common.name","observed.on","location","listing.status","latitude","longitude","url"
"Histrionicus histrionicus","Harlequin Duck","1982-05-30","Acadia NP (please use more specific location if possible)","state threatened",44.3385984,-68.2733291,NA
"Histrionicus histrionicus","Harlequin Duck","1984-03-25","Isle au Haut--South Shore","state threatened",44.0166405,-68.6400468,NA
"Histrionicus histrionicus","Harlequin Duck","1985-03-29","Acadia NP--Blackwoods Campground Shore","state threatened",44.3065086,-68.2013869,NA
"Histrionicus histrionicus","Harlequin Duck","1985-03-15","Isle au Haut","state threatened",44.0460142,-68.626015,NA
"Nycticorax nycticorax","Black-crowned Night Heron","1985-07-19","Acadia NP--Beaver Dam Pond","state endangered",44.3623836,-68.1951383,NA
"Bartramia longicauda","Upland Sandpiper","1985-07-23","Acadia NP--Otter Point","state threatened",44.3072668,-68.1901217,NA
"Sterna paradisaea","Arctic Tern","1985-07-27","Isle au Haut","state threatened",44.0460142,-68.626015,NA
"Sterna paradisaea","Arctic Tern","1985-08-15","Acadia NP (please use more specific location if possible)","state threatened",44.3385984,-68.2733291,NA
"Fratercula arctica","Atlantic Puffin","1985-08-13","Acadia NP--Schoodic Peninsula","state threatened",44.3403019,-68.0582428,NA
"Histrionicus histrionicus","Harlequin Duck","1985-11-30","Acadia NP--Park Loop Road","state threatened",44.3469312,-68.1873322,NA
"Bucephala islandica","Barrow's Goldeneye","1986-01-01","Acadia NP--Schoodic Point","state threatened",44.3324746,-68.0603456,NA
"Histrionicus histrionicus","Harlequin Duck","1986-03-30","Isle au Haut","state threatened",44.0460142,-68.626015,NA
"Nycticorax nycticorax","Black-crowned Night Heron","1986-05-22","Acadia NP--Sand Beach","state endangered",44.3292206,-68.1822252,NA
"Chlidonias niger","Black Tern","1987-06-10","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1987-08-29","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1987-08-11","Acadia NP--Visitor Center","state endangered",44.4084752,-68.2463949,NA
"Histrionicus histrionicus","Harlequin Duck","1987-11-20","Isle au Haut--South Shore","state threatened",44.0166405,-68.6400468,NA
"Sterna paradisaea","Arctic Tern","1988-07-06","Acadia NP (please use more specific location if possible)","state threatened",44.3385984,-68.2733291,NA
"Alca torda","Razorbill","1988-09-19","Acadia NP--Schoodic Peninsula","state threatened",44.3403019,-68.0582428,NA
"Nycticorax nycticorax","Black-crowned Night Heron","1989-07-14","Acadia NP--Schoodic Point","state endangered",44.3324746,-68.0603456,NA
"Alca torda","Razorbill","1989-07-14","Acadia NP--Schoodic Point","state threatened",44.3324746,-68.0603456,NA
"Falco peregrinus","Peregrine Falcon","1989-08-06","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1989-09-10","Acadia NP--Cadillac Mountain","state endangered",44.3534831,-68.2260418,NA
"Falco peregrinus","Peregrine Falcon","1989-09-13","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1990-05-26","Acadia NP--Precipice Trail Overlook","state endangered",44.3494526,-68.1878144,NA
"Falco peregrinus","Peregrine Falcon","1990-07-16","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Alca torda","Razorbill","1990-07-10","Acadia NP (please use more specific location if possible)","state threatened",44.3385984,-68.2733291,NA
"Sterna paradisaea","Arctic Tern","1990-08-07","Acadia NP--Schoodic Point","state threatened",44.3324746,-68.0603456,NA
"Sterna paradisaea","Arctic Tern","1990-08-03","Acadia NP (please use more specific location if possible)","state threatened",44.3385984,-68.2733291,NA
"Fratercula arctica","Atlantic Puffin","1990-08-15","Acadia NP--Otter Point","state threatened",44.3072668,-68.1901217,NA
"Falco peregrinus","Peregrine Falcon","1990-09-14","Acadia NP--Sargent Mountain","state endangered",44.3481336,-68.2717656,NA
"Bucephala islandica","Barrow's Goldeneye","1991-02-02","Acadia NP (please use more specific location if possible)","state threatened",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1991-05-25","Acadia NP--Precipice Trail Overlook","state endangered",44.3494526,-68.1878144,NA
"Falco peregrinus","Peregrine Falcon","1991-06-15","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1991-06-23","Acadia NP--Jordan Pond Path","state endangered",44.3242409,-68.2499805,NA
"Falco peregrinus","Peregrine Falcon","1991-06-14","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1991-07-09","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1991-07-31","Acadia NP--Champlain Mountain","state endangered",44.3508187,-68.194043,NA
"Falco peregrinus","Peregrine Falcon","1991-08-25","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1991-10-04","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1992-04-07","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1992-04-06","Acadia NP--Precipice Trail Overlook","state endangered",44.3494526,-68.1878144,NA
"Falco peregrinus","Peregrine Falcon","1992-05-20","Acadia NP--Precipice Trail","state endangered",44.3547872,-68.1897354,NA
"Falco peregrinus","Peregrine Falcon","1992-06-25","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1992-06-15","Acadia National Park","state endangered",44.328269,-68.2749653,NA
"Nycticorax nycticorax","Black-crowned Night Heron","1992-07-07","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Alca torda","Razorbill","1992-07-07","Acadia NP--Otter Point","state threatened",44.3072668,-68.1901217,NA
"Chlidonias niger","Black Tern","1992-08-02","Acadia NP--Bass Harbor Marsh","state endangered",44.2533766,-68.3407102,NA
"Falco peregrinus","Peregrine Falcon","1992-08-12","Acadia NP--Ship Harbor Trail","state endangered",44.2316668,-68.3256161,NA
"Histrionicus histrionicus","Harlequin Duck","1993-04-26","Acadia NP--Schoodic Point","state threatened",44.3324746,-68.0603456,NA
"Falco peregrinus","Peregrine Falcon","1993-06-19","Acadia National Park - General","state endangered",44.3374059,-68.2150633,NA
"Falco peregrinus","Peregrine Falcon","1993-06-19","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Sterna paradisaea","Arctic Tern","1993-07-17","Acadia NP--Schoodic Peninsula","state threatened",44.3403019,-68.0582428,NA
"Fratercula arctica","Atlantic Puffin","1993-07-15","Acadia NP--Schoodic Peninsula","state threatened",44.3403019,-68.0582428,NA
"Falco peregrinus","Peregrine Falcon","1993-07-26","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1993-07-17","Acadia NP--Dorr Mountain","state endangered",44.3546645,-68.2149696,NA
"Falco peregrinus","Peregrine Falcon","1993-07-26","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1993-07-29","Acadia NP, ME","state endangered",44.3158113,-68.2822531,NA
"Sterna paradisaea","Arctic Tern","1993-08-05","Acadia NP--Baker Island","state threatened",44.2414724,-68.1983643,NA
"Falco peregrinus","Peregrine Falcon","1993-08-28","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1993-08-28","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1994-05-07","Acadia NP--Great Meadow","state endangered",44.3669684,-68.2070087,NA
"Falco peregrinus","Peregrine Falcon","1994-05-26","Acadia NP--Precipice Trail Overlook","state endangered",44.3494526,-68.1878144,NA
"Falco peregrinus","Peregrine Falcon","1994-05-11","Precipice Trail head to Otter Cove Loop Road ","state endangered",44.3505034,-68.1880188,NA
"Falco peregrinus","Peregrine Falcon","1994-05-26","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1994-06-11","Acadia NP--Park Loop Road","state endangered",44.3469312,-68.1873322,NA
"Falco peregrinus","Peregrine Falcon","1994-07-23","Acadia NP--Wonderland Trail","state endangered",44.233752,-68.3198708,NA
"Falco peregrinus","Peregrine Falcon","1994-08-06","Acadia NP--Precipice Trail","state endangered",44.3547872,-68.1897354,NA
"Falco peregrinus","Peregrine Falcon","1994-08-09","Acadia NP--Cadillac Mountain","state endangered",44.3534831,-68.2260418,NA
"Falco peregrinus","Peregrine Falcon","1994-09-01","Acadia NP--Day Mountain","state endangered",44.3097432,-68.2319102,NA
"Histrionicus histrionicus","Harlequin Duck","1995-03-29","Acadia NP--Schoodic Point","state threatened",44.3324746,-68.0603456,NA
"Falco peregrinus","Peregrine Falcon","1995-05-13","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1995-06-12","US-ME-Acadia National Park","state endangered",44.3155428,-68.2013535,NA
"Falco peregrinus","Peregrine Falcon","1995-06-13","US-ME-Acadia National Park","state endangered",44.3155428,-68.2013535,NA
"Falco peregrinus","Peregrine Falcon","1995-07-09","Acadia NP, ME","state endangered",44.341294,-68.2245811,NA
"Falco peregrinus","Peregrine Falcon","1995-07-06","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1995-08-03","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1995-08-11","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1995-08-03","Acadia NP--Precipice Trail","state endangered",44.3547872,-68.1897354,NA
"Falco peregrinus","Peregrine Falcon","1995-08-14","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Histrionicus histrionicus","Harlequin Duck","1996-03-24","Isle au Haut","state threatened",44.0460142,-68.626015,NA
"Falco peregrinus","Peregrine Falcon","1996-05-29","Precipice Trail head to Otter Cove Loop Road ","state endangered",44.3505034,-68.1880188,NA
"Falco peregrinus","Peregrine Falcon","1996-05-27","Echo Lake  Mount Desert Island ","state endangered",44.3150012,-68.3359566,NA
"Sterna paradisaea","Arctic Tern","1996-06-17","some island off of Bar harbor","state threatened",44.2418787,-68.1978035,NA
"Sterna paradisaea","Arctic Tern","1996-06-17","some island off of Bar harbor","state threatened",44.2418787,-68.1978035,NA
"Fratercula arctica","Atlantic Puffin","1996-06-17","some island off of Bar harbor","state threatened",44.2418787,-68.1978035,NA
"Fratercula arctica","Atlantic Puffin","1996-06-17","some island off of Bar harbor","state threatened",44.2418787,-68.1978035,NA
"Falco peregrinus","Peregrine Falcon","1996-06-28","Acadia NP--Great Head","state endangered",44.3289251,-68.1741893,NA
"Falco peregrinus","Peregrine Falcon","1996-06-29","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Alca torda","Razorbill","1996-06-17","some island off of Bar harbor","state threatened",44.2418787,-68.1978035,NA
"Alca torda","Razorbill","1996-06-17","some island off of Bar harbor","state threatened",44.2418787,-68.1978035,NA
"Cistothorus stellaris","Sedge Wren","1996-06-08","Fresh Meadow, Bar Harbor, ME, USA","state endangered",44.4237725,-68.3171181,NA
"Falco peregrinus","Peregrine Falcon","1996-07-08","Acadia NP--Precipice Trail Overlook","state endangered",44.3494526,-68.1878144,NA
"Falco peregrinus","Peregrine Falcon","1996-07-10","Acadia NP--Precipice Trail Overlook","state endangered",44.3494526,-68.1878144,NA
"Falco peregrinus","Peregrine Falcon","1996-07-08","Acadia NP--Precipice Trail Overlook","state endangered",44.3494526,-68.1878144,NA
"Falco peregrinus","Peregrine Falcon","1996-07-16","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1996-07-08","Acadia NP--Precipice Trail Overlook","state endangered",44.3494526,-68.1878144,NA
"Falco peregrinus","Peregrine Falcon","1996-07-02","Acadia NP--Great Meadow","state endangered",44.3669684,-68.2070087,NA
"Falco peregrinus","Peregrine Falcon","1996-07-21","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1996-08-15","Cadillac Mountain, Bar Harbor, ME","state endangered",44.3764021,-68.2218633,NA
"Falco peregrinus","Peregrine Falcon","1996-08-01","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1996-08-20","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1996-09-28","Acadia NP--Park Loop Road","state endangered",44.3469312,-68.1873322,NA
"Histrionicus histrionicus","Harlequin Duck","1997-03-23","Isle au Haut","state threatened",44.0460142,-68.626015,NA
"Histrionicus histrionicus","Harlequin Duck","1997-04-06","Isle au Haut","state threatened",44.0460142,-68.626015,NA
"Histrionicus histrionicus","Harlequin Duck","1997-04-06","Isle au Haut","state threatened",44.0460142,-68.626015,NA
"Histrionicus histrionicus","Harlequin Duck","1997-04-06","Isle au Haut","state threatened",44.0460142,-68.626015,NA
"Falco peregrinus","Peregrine Falcon","1997-05-24","Acadia NP--Precipice Trail","state endangered",44.3547872,-68.1897354,NA
"Falco peregrinus","Peregrine Falcon","1997-05-24","Acadia NP--Precipice Trail","state endangered",44.3547872,-68.1897354,NA
"Falco peregrinus","Peregrine Falcon","1997-06-22","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1997-06-10","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1997-06-22","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1997-06-21","Acadia NP--Cadillac Mountain South Ridge Trail","state endangered",44.3437372,-68.229879,NA
"Falco peregrinus","Peregrine Falcon","1997-06-28","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1997-06-10","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1997-06-06","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1997-07-13","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1997-07-12","Acadia NP--Precipice Trail Overlook","state endangered",44.3494526,-68.1878144,NA
"Falco peregrinus","Peregrine Falcon","1997-07-04","Acadia NP--Schooner Head Road Marsh","state endangered",44.3489122,-68.1854868,NA
"Falco peregrinus","Peregrine Falcon","1997-07-05","Acadia NP--Precipice Trail Overlook","state endangered",44.3494526,-68.1878144,NA
"Fratercula arctica","Atlantic Puffin","1997-08-13","Bass Harbor Head Lighthouse","state threatened",44.2219221,-68.3371925,NA
"Falco peregrinus","Peregrine Falcon","1997-08-12","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1997-10-11","Acadia NP--Cadillac Mountain","state endangered",44.3534831,-68.2260418,NA
"Falco peregrinus","Peregrine Falcon","1997-10-11","Acadia NP--Cadillac Mountain","state endangered",44.3534831,-68.2260418,NA
"Histrionicus histrionicus","Harlequin Duck","1998-03-29","Isle au Haut","state threatened",44.0460142,-68.626015,NA
"Falco peregrinus","Peregrine Falcon","1998-05-25","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1998-07-26","Acadia NP--Precipice Trail Overlook","state endangered",44.3494526,-68.1878144,NA
"Falco peregrinus","Peregrine Falcon","1998-07-06","Acadia NP--Precipice Trail","state endangered",44.3547872,-68.1897354,NA
"Falco peregrinus","Peregrine Falcon","1998-07-29","Acadia Natl Park, ME","state endangered",44.3277778,-68.2470703,NA
"Falco peregrinus","Peregrine Falcon","1998-07-28","Acadia NP -- Park Loop Rd","state endangered",44.332264,-68.2505768,NA
"Falco peregrinus","Peregrine Falcon","1998-07-08","Acadia NP--Precipice Trail","state endangered",44.3547872,-68.1897354,NA
"Falco peregrinus","Peregrine Falcon","1998-07-12","Acadia NP--Precipice Trail","state endangered",44.3547872,-68.1897354,NA
"Falco peregrinus","Peregrine Falcon","1998-07-19","Acadia NP--Precipice Trail Overlook","state endangered",44.3494526,-68.1878144,NA
"Falco peregrinus","Peregrine Falcon","1998-07-27","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1998-07-01","Acadia NP--Precipice Trail","state endangered",44.3547872,-68.1897354,NA
"Sterna paradisaea","Arctic Tern","1998-08-13","Acadia NP--Aunt Betty's Pond Carriage Path Loop","state threatened",44.3688395,-68.2719612,NA
"Fratercula arctica","Atlantic Puffin","1998-08-13","Acadia NP--Aunt Betty's Pond Carriage Path Loop","state threatened",44.3688395,-68.2719612,NA
"Falco peregrinus","Peregrine Falcon","1998-08-03","Acadia National Park","state endangered",44.3309704,-68.2666397,NA
"Falco peregrinus","Peregrine Falcon","1998-08-20","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1998-09-05","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Histrionicus histrionicus","Harlequin Duck","1999-05-23","Acadia NP (please use more specific location if possible)","state threatened",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1999-05-30","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Fratercula arctica","Atlantic Puffin","1999-06-30","Acadia NP (please use more specific location if possible)","state threatened",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1999-06-27","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1999-06-30","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1999-06-27","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1999-06-27","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1999-07-20","Acadia NP--Cadillac Mountain South Ridge Trail","state endangered",44.3437372,-68.229879,NA
"Falco peregrinus","Peregrine Falcon","1999-07-10","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1999-07-08","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1999-07-02","MOUNT DESERT ISLAND","state endangered",44.3628877,-68.3038044,NA
"Falco peregrinus","Peregrine Falcon","1999-08-30","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Histrionicus histrionicus","Harlequin Duck","1999-09-27","Acadia NP--Thunder Hole","state threatened",44.320651,-68.1887506,NA
