"common.name","scientific.name","observed.on","place.guess","latitude","longitude","positional.accuracy","url","cat"
"glossy buckthorn","Frangula alnus","2023-10-19","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3692496292,-68.2117324923,4,"https://www.inaturalist.org/observations/188301255","All observations"
"glossy buckthorn","Frangula alnus","2023-10-19","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3695932059,-68.2118387299,4,"https://www.inaturalist.org/observations/188301355","All observations"
"glossy buckthorn","Frangula alnus","2023-10-19","Acadia National Park, Hancock County, US-ME, US",44.3713039533,-68.2105067745,4,"https://www.inaturalist.org/observations/188301436","All observations"
"glossy buckthorn","Frangula alnus","2023-10-19","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3691787217,-68.2105769311,3,"https://www.inaturalist.org/observations/188301453","All observations"
"glossy buckthorn","Frangula alnus","2023-10-19","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3690587579,-68.2116790754,4,"https://www.inaturalist.org/observations/188301914","All observations"
"glossy buckthorn","Frangula alnus","2023-10-19","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3691201633,-68.2117091654,4,"https://www.inaturalist.org/observations/188301932","All observations"
"glossy buckthorn","Frangula alnus","2023-10-19","Acadia National Park, Bar Harbor, ME, US",44.3654435361,-68.2105613407,781,"https://www.inaturalist.org/observations/189119395","All observations"
"glossy buckthorn","Frangula alnus","2023-10-19","Acadia National Park, Bar Harbor, ME, US",44.3685494923,-68.2114901394,4,"https://www.inaturalist.org/observations/189119419","All observations"
"glossy buckthorn","Frangula alnus","2023-10-19","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.369226764,-68.2117030444,50,"https://www.inaturalist.org/observations/189119482","All observations"
"glossy buckthorn","Frangula alnus","2023-10-19","Acadia National Park, Hancock County, US-ME, US",44.3711559071,-68.2105283796,4,"https://www.inaturalist.org/observations/189119506","All observations"
"glossy buckthorn","Frangula alnus","2023-10-19","Acadia National Park, Bar Harbor, ME, US",44.3694809732,-68.2106230315,8,"https://www.inaturalist.org/observations/189119508","All observations"
"glossy buckthorn","Frangula alnus","2023-10-19","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3689470459,-68.2107752469,3,"https://www.inaturalist.org/observations/189119516","All observations"
"glossy buckthorn","Frangula alnus","2023-10-19","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3684334037,-68.2110883565,305,"https://www.inaturalist.org/observations/189119519","All observations"
"purple crownvetch","Securigera varia","2023-10-17","Acadia National Park, Bar Harbor, ME, US",44.3272366667,-68.1856616667,14,"https://www.inaturalist.org/observations/187940172","All observations"
"rugosa rose","Rosa rugosa","2023-10-17","Acadia National Park, Bar Harbor, ME, US",44.32077,-68.18878,43,"https://www.inaturalist.org/observations/187968258","All observations"
"colt's-foot","Tussilago farfara","2023-10-13","Mount Desert Island, Bar Harbor, ME, US",44.3292083333,-68.1839916667,4,"https://www.inaturalist.org/observations/187419147","All observations"
"white poplar","Populus alba","2023-10-12","Acadia National Park, Bar Harbor, ME, US",44.3140675571,-68.1937534209,25,"https://www.inaturalist.org/observations/187284400","All observations"
"rugosa rose","Rosa rugosa","2023-10-07","Acadia National Park, Southwest Harbor, ME, US",44.2295083333,-68.31288,4,"https://www.inaturalist.org/observations/186704725","All observations"
"rugosa rose","Rosa rugosa","2023-10-07","Acadia National Park, Southwest Harbor, ME, US",44.229195,-68.3124166667,6,"https://www.inaturalist.org/observations/187282200","All observations"
"rugosa rose","Rosa rugosa","2023-10-05","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3289794922,-68.18019104,35,"https://www.inaturalist.org/observations/186681614","All observations"
"rugosa rose","Rosa rugosa","2023-09-28","Southwest Harbor",44.2281799316,-68.3110809326,4,"https://www.inaturalist.org/observations/185330898","All observations"
"rugosa rose","Rosa rugosa","2023-09-28","Bar Harbor, ME, USA",44.31098055,-68.1890944333,NA,"https://www.inaturalist.org/observations/194782993","All observations"
"bittersweet nightshade","Solanum dulcamara","2023-09-28","Bar Harbor, ME, USA",44.31095,-68.1891027667,NA,"https://www.inaturalist.org/observations/194782995","All observations"
"rugosa rose","Rosa rugosa","2023-09-28","Bar Harbor, ME, USA",44.310925,-68.189125,NA,"https://www.inaturalist.org/observations/194783002","All observations"
"bittersweet nightshade","Solanum dulcamara","2023-09-27","Acadia National Park, Mount Desert, ME, US",44.2974866667,-68.2151866667,3,"https://www.inaturalist.org/observations/185165700","All observations"
"rugosa rose","Rosa rugosa","2023-09-27","Acadia National Park, Birch Harbor, ME, US",44.3654133333,-68.0763555,4,"https://www.inaturalist.org/observations/185408022","All observations"
"purple crownvetch","Securigera varia","2023-09-26","Acadia National Park, Bar Harbor, ME, US",44.3263883333,-68.186295,4,"https://www.inaturalist.org/observations/185078428","All observations"
"bittersweet nightshade","Solanum dulcamara","2023-09-26","Acadia National Park, Southwest Harbor, ME, US",44.2542116667,-68.3275916667,8405,"https://www.inaturalist.org/observations/185433351","All observations"
"Japanese barberry","Berberis thunbergii","2023-09-25","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3694643329,-68.2104432426,7,"https://www.inaturalist.org/observations/184925680","All observations"
"rugosa rose","Rosa rugosa","2023-09-25","Bar Harbor, ME 04609, USA",44.3069875267,-68.1922204792,208,"https://www.inaturalist.org/observations/184938299","All observations"
"rugosa rose","Rosa rugosa","2023-09-25","Acadia National Park, Bar Harbor, ME, US",44.3206633333,-68.18937,4,"https://www.inaturalist.org/observations/186359970","All observations"
"rugosa rose","Rosa rugosa","2023-09-24","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.320640564,-68.1890106201,3,"https://www.inaturalist.org/observations/184766020","All observations"
"rugosa rose","Rosa rugosa","2023-09-23","Nicatous Lake, Acadia National Park, Hancock County, US-ME, US",44.2219566275,-68.3373494447,4,"https://www.inaturalist.org/observations/184529755","All observations"
"rugosa rose","Rosa rugosa","2023-09-23","Gulf of Maine, Tremont, ME, US",44.2220130796,-68.3373898455,3,"https://www.inaturalist.org/observations/184529950","All observations"
"Large-leaved lupine","Lupinus polyphyllus","2023-09-21","Acadia National Park, Bar Harbor, ME, US",44.3975926568,-68.2096148675,4,"https://www.inaturalist.org/observations/184246150","All observations"
"rugosa rose","Rosa rugosa","2023-09-21","Trenton, ME 04605, USA",44.4223083333,-68.36405,NA,"https://www.inaturalist.org/observations/184448244","All observations"
"rugosa rose","Rosa rugosa","2023-09-17","Acadia National Park, Bar Harbor, ME, US",44.32082,-68.18872,3,"https://www.inaturalist.org/observations/183721460","All observations"
"rugosa rose","Rosa rugosa","2023-09-14","Birch Harbor",44.3386230469,-68.0538406372,882,"https://www.inaturalist.org/observations/183236118","All observations"
"colt's-foot","Tussilago farfara","2023-09-14","Bar Harbor, ME 04609, USA",44.329419211,-68.1828766689,231,"https://www.inaturalist.org/observations/184053281","All observations"
"rugosa rose","Rosa rugosa","2023-09-13","Winter Harbor",44.3388900757,-68.0451049805,3,"https://www.inaturalist.org/observations/183116107","All observations"
"rugosa rose","Rosa rugosa","2023-09-12","Bar Harbor",44.3531188965,-68.2234115601,3138,"https://www.inaturalist.org/observations/182925859","All observations"
"purple crownvetch","Securigera varia","2023-09-11","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3265075684,-68.1862258911,4,"https://www.inaturalist.org/observations/182943143","All observations"
"Japanese knotweed","Reynoutria japonica","2023-09-11","Maine",44.3385559,-68.2733346,16108,"https://www.inaturalist.org/observations/184147335","All observations"
"rugosa rose","Rosa rugosa","2023-09-10","Maine",44.3385559,-68.2733346,16108,"https://www.inaturalist.org/observations/184147280","All observations"
"rugosa rose","Rosa rugosa","2023-09-10","Maine",44.3385559,-68.2733346,16108,"https://www.inaturalist.org/observations/184147317","All observations"
"rugosa rose","Rosa rugosa","2023-09-08","Otter Point",44.3891444767,-68.230493255,3209,"https://www.inaturalist.org/observations/182331628","All observations"
"rugosa rose","Rosa rugosa","2023-09-08","Maine",44.3385559,-68.2733346,16108,"https://www.inaturalist.org/observations/184147240","All observations"
"rugosa rose","Rosa rugosa","2023-09-07","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3208312988,-68.1887359619,66,"https://www.inaturalist.org/observations/182271964","All observations"
"purple crownvetch","Securigera varia","2023-09-06","Acadia National Park, Bar Harbor, ME, US",44.3271633333,-68.1856916667,4,"https://www.inaturalist.org/observations/182355282","All observations"
"rugosa rose","Rosa rugosa","2023-09-05","Acadia National Park, Southwest Harbor, ME, US",44.2369401214,-68.3022557432,4,"https://www.inaturalist.org/observations/181986903","All observations"
"bird's-foot trefoil","Lotus corniculatus","2023-09-05","Acadia National Park, Bar Harbor, ME, US",44.352875,-68.2255783333,4,"https://www.inaturalist.org/observations/182514322","All observations"
"Norway maple","Acer platanoides","2023-09-04","Acadia National Park, Bar Harbor, ME, US",44.3734666667,-68.1951833333,4,"https://www.inaturalist.org/observations/181787482","All observations"
"rugosa rose","Rosa rugosa","2023-09-03","Mount Desert Island, Bar Harbor, ME, US",44.317405,-68.1995616667,4,"https://www.inaturalist.org/observations/181593509","All observations"
"bittersweet nightshade","Solanum dulcamara","2023-09-03","Mount Desert Island, Bar Harbor, ME, US",44.3174418134,-68.1996442014,51,"https://www.inaturalist.org/observations/181593725","All observations"
"rugosa rose","Rosa rugosa","2023-09-03","Acadia National Park, Bar Harbor, ME, US",44.314205,-68.1953366667,3,"https://www.inaturalist.org/observations/181664627","All observations"
"rugosa rose","Rosa rugosa","2023-09-03","Acadia National Park, Birch Harbor, ME, US",44.3325783333,-68.0606916667,4,"https://www.inaturalist.org/observations/181726486","All observations"
"rugosa rose","Rosa rugosa","2023-09-03","Bar Harbor, ME, USA",44.3146633333,-68.1951516667,NA,"https://www.inaturalist.org/observations/181794445","All observations"
"bittersweet nightshade","Solanum dulcamara","2023-09-02","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3208567985,-68.188729249,3,"https://www.inaturalist.org/observations/181393241","All observations"
"bittersweet nightshade","Solanum dulcamara","2023-09-02","Mount Desert Island, Bar Harbor, ME, US",44.3174313107,-68.1994445672,4,"https://www.inaturalist.org/observations/183703118","All observations"
"Bull Thistle","Cirsium vulgare","2023-08-31","Winter Harbor, ME, USA",44.3847861111,-68.0600805556,NA,"https://www.inaturalist.org/observations/181914402","All observations"
"bittersweet nightshade","Solanum dulcamara","2023-08-30","Acadia National Park, Southwest Harbor, ME, US",44.2541616667,-68.3465716667,3,"https://www.inaturalist.org/observations/180900860","All observations"
"rugosa rose","Rosa rugosa","2023-08-29","Tremont",44.2219924927,-68.3373413086,3,"https://www.inaturalist.org/observations/180768331","All observations"
"glossy buckthorn","Frangula alnus","2023-08-29","Bar Harbor, ME 04609, USA",44.3397659,-68.2133012997,NA,"https://www.inaturalist.org/observations/180805403","All observations"
"Beech Leaf Disease","Litylenchus crenatae","2023-08-28","Bar Harbor, ME 04609, USA",44.363169308,-68.2092977688,134,"https://www.inaturalist.org/observations/180668512","All observations"
"purple crownvetch","Securigera varia","2023-08-28","Acadia National Park, Bar Harbor, ME, US",44.3585666667,-68.2069383333,5,"https://www.inaturalist.org/observations/180775921","All observations"
"Alsike clover","Trifolium hybridum","2023-08-28","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3691436353,-68.2117011082,8,"https://www.inaturalist.org/observations/181241243","All observations"
"bird's-foot trefoil","Lotus corniculatus","2023-08-27","Mount Desert Island, Southwest Harbor, ME, US",44.2223916667,-68.3378966667,5,"https://www.inaturalist.org/observations/180605179","All observations"
"rugosa rose","Rosa rugosa","2023-08-27","Mount Desert Island, Southwest Harbor, ME, US",44.2220333333,-68.337495,5,"https://www.inaturalist.org/observations/180605664","All observations"
"rugosa rose","Rosa rugosa","2023-08-25","Acadia National Park, Bar Harbor, ME, US",44.3204633333,-68.189055,4,"https://www.inaturalist.org/observations/180747934","All observations"
"bittersweet nightshade","Solanum dulcamara","2023-08-23","Acadia National Park, Bar Harbor, ME, US",44.3069860479,-68.1924710982,3,"https://www.inaturalist.org/observations/179840725","All observations"
"purple crownvetch","Securigera varia","2023-08-23","Bar Harbor, ME, USA",44.327427,-68.1853449167,NA,"https://www.inaturalist.org/observations/180688118","All observations"
"bird's-foot trefoil","Lotus corniculatus","2023-08-23","Cochrane Point, Acadia National Park, Hancock, Maine, United States",44.3274359167,-68.1853079722,NA,"https://www.inaturalist.org/observations/180688352","All observations"
"rugosa rose","Rosa rugosa","2023-08-23","Bar Harbor, ME, USA",44.3207649722,-68.1889049722,NA,"https://www.inaturalist.org/observations/180692343","All observations"
"rugosa rose","Rosa rugosa","2023-08-23","Isle Au Haut, ME, USA",44.0192771095,-68.6591199285,31,"https://www.inaturalist.org/observations/189722274","All observations"
"Bull Thistle","Cirsium vulgare","2023-08-23","Isle Au Haut, ME, USA",44.0271591527,-68.6515541408,8,"https://www.inaturalist.org/observations/190000478","All observations"
"Large-leaved lupine","Lupinus polyphyllus","2023-08-22","Gouldsboro, ME, USA",44.3978098444,-68.208571965,8,"https://www.inaturalist.org/observations/188952461","All observations"
"rugosa rose","Rosa rugosa","2023-08-21","Wonderland Trail",44.2316021377,-68.3151095733,425,"https://www.inaturalist.org/observations/179590678","All observations"
"purple crownvetch","Securigera varia","2023-08-21","Bar Harbor, ME, USA",44.3229528031,-68.1873117424,15,"https://www.inaturalist.org/observations/187845964","All observations"
"bittersweet nightshade","Solanum dulcamara","2023-08-21","Bar Harbor, ME, USA",44.3207905702,-68.1887362823,3,"https://www.inaturalist.org/observations/197805478","All observations"
"rugosa rose","Rosa rugosa","2023-08-20","Mount Desert Island, Bar Harbor, ME, US",44.3173866667,-68.1995466667,3,"https://www.inaturalist.org/observations/179364942","All observations"
"rugosa rose","Rosa rugosa","2023-08-20","Mount Desert Island, Bar Harbor, ME, US",44.3174283333,-68.199495,4,"https://www.inaturalist.org/observations/179365162","All observations"
"rugosa rose","Rosa rugosa","2023-08-20","Acadia National Park, Mount Desert, ME, US",44.340354545,-68.2442936835,3216,"https://www.inaturalist.org/observations/179414469","All observations"
"bittersweet nightshade","Solanum dulcamara","2023-08-20","Acadia National Park, Bar Harbor, ME, US",44.3518633333,-68.2227866667,3,"https://www.inaturalist.org/observations/179434063","All observations"
"purple crownvetch","Securigera varia","2023-08-18","Acadia National Park, Bar Harbor, ME, US",44.3615912503,-68.2055734324,12398,"https://www.inaturalist.org/observations/179042703","All observations"
"purple crownvetch","Securigera varia","2023-08-18","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3584764563,-68.2068812662,9,"https://www.inaturalist.org/observations/179266410","All observations"
"rugosa rose","Rosa rugosa","2023-08-17","Southwest Harbor, ME, USA",44.2295148636,-68.3127264131,22,"https://www.inaturalist.org/observations/193359895","All observations"
"Bull Thistle","Cirsium vulgare","2023-08-17","Southwest Harbor, ME, USA",44.2292869045,-68.3124308589,17,"https://www.inaturalist.org/observations/193359897","All observations"
"rugosa rose","Rosa rugosa","2023-08-16","Acadia National Park, Winter Harbor, ME, US",44.3376533333,-68.0525805,10,"https://www.inaturalist.org/observations/178823353","All observations"
"rugosa rose","Rosa rugosa","2023-08-16","Mt Desert, ME 04660, USA",44.3201824602,-68.3214620501,11077,"https://www.inaturalist.org/observations/178865285","All observations"
"rugosa rose","Rosa rugosa","2023-08-15","Acadia National Park, Cranberry Isles, ME, US",44.2374533333,-68.19722,6,"https://www.inaturalist.org/observations/178565319","All observations"
"rugosa rose","Rosa rugosa","2023-08-14","Acadia National Park, Bar Harbor, ME, US",44.3531951375,-68.2237043874,4,"https://www.inaturalist.org/observations/178367227","All observations"
"rugosa rose","Rosa rugosa","2023-08-14","Bar Harbor, ME, USA",44.3289005417,-68.1840553813,83,"https://www.inaturalist.org/observations/178752446","All observations"
"rugosa rose","Rosa rugosa","2023-08-14","Acadia National Park, Southwest Harbor, ME, US",44.2293033333,-68.312605,3,"https://www.inaturalist.org/observations/178904402","All observations"
"Broad-leafed Helleborine","Epipactis helleborine","2023-08-13","Agamont Park, Bar Harbor, ME, US",44.3975903141,-68.2052234095,6,"https://www.inaturalist.org/observations/178231077","All observations"
"rugosa rose","Rosa rugosa","2023-08-13","Frazer Point",44.3756348297,-68.0747286603,1555,"https://www.inaturalist.org/observations/178241681","All observations"
"Broad-leafed Helleborine","Epipactis helleborine","2023-08-13","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3179993428,-68.1983359158,12,"https://www.inaturalist.org/observations/179005370","All observations"
"rugosa rose","Rosa rugosa","2023-08-13","Acadia National Park, Bar Harbor, ME, US",44.317375,-68.1990966667,4,"https://www.inaturalist.org/observations/179143982","All observations"
"Broad-leafed Helleborine","Epipactis helleborine","2023-08-11","Acadia National Park, Hancock County, US-ME, US",44.3366699219,-68.0632247925,4,"https://www.inaturalist.org/observations/177902967","All observations"
"rugosa rose","Rosa rugosa","2023-08-10","Tremont",44.2221069336,-68.337348938,1044,"https://www.inaturalist.org/observations/177675052","All observations"
"bittersweet nightshade","Solanum dulcamara","2023-08-10","Mount Desert Island, Bar Harbor, ME, US",44.3071583333,-68.1935716667,16,"https://www.inaturalist.org/observations/177765829","All observations"
"rugosa rose","Rosa rugosa","2023-08-09","Acadia National Park, Birch Harbor, ME, US",44.3327131262,-68.061384419,7,"https://www.inaturalist.org/observations/177590177","All observations"
"rugosa rose","Rosa rugosa","2023-08-09","Mount Desert Island, Southwest Harbor, ME, US",44.2254866667,-68.318305,3,"https://www.inaturalist.org/observations/177764326","All observations"
"glossy buckthorn","Frangula alnus","2023-08-08","Acadia National Park, Hancock County, US-ME, US",44.37118751,-68.20992227,6,"https://www.inaturalist.org/observations/177378669","All observations"
"Alsike clover","Trifolium hybridum","2023-08-08","Acadia National Park, Bar Harbor, ME, US",44.3685634946,-68.2109956802,4,"https://www.inaturalist.org/observations/177409406","All observations"
"Japanese barberry","Berberis thunbergii","2023-08-08","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3690907117,-68.210663097,4,"https://www.inaturalist.org/observations/177409438","All observations"
"glossy buckthorn","Frangula alnus","2023-08-08","Acadia National Park, Hancock County, US-ME, US",44.37120372,-68.21058813,8,"https://www.inaturalist.org/observations/177444815","All observations"
"Alsike clover","Trifolium hybridum","2023-08-08","Acadia National Park, Bar Harbor, ME, US",44.3686366667,-68.2115466667,412,"https://www.inaturalist.org/observations/177809149","All observations"
"bird's-foot trefoil","Lotus corniculatus","2023-08-07","Acadia National Park, Birch Harbor, ME, US",44.33895,-68.0625221667,3,"https://www.inaturalist.org/observations/177167457","All observations"
"purple crownvetch","Securigera varia","2023-08-07","Acadia National Park, Birch Harbor, ME, US",44.3369933893,-68.0603804243,70,"https://www.inaturalist.org/observations/177198593","All observations"
"Browntail Moth","Euproctis chrysorrhoea","2023-08-07","Acadia National Park, Bar Harbor, ME, US",44.32982,-68.1844116667,4,"https://www.inaturalist.org/observations/177647891","All observations"
"rugosa rose","Rosa rugosa","2023-08-06","Bar Harbor, ME 04609, USA",44.3207777778,-68.1888277778,NA,"https://www.inaturalist.org/observations/177095810","All observations"
"purple crownvetch","Securigera varia","2023-08-05","Acadia National Park, Birch Harbor, ME, US",44.3376829717,-68.0600179614,20,"https://www.inaturalist.org/observations/176764266","All observations"
"bittersweet nightshade","Solanum dulcamara","2023-08-05","Acadia National Park, Birch Harbor, ME, US",44.3323724646,-68.0613206068,50,"https://www.inaturalist.org/observations/176793670","All observations"
"bittersweet nightshade","Solanum dulcamara","2023-08-05","Acadia National Park, Birch Harbor, ME, US",44.3326216667,-68.0613945,4,"https://www.inaturalist.org/observations/176796933","All observations"
"bittersweet nightshade","Solanum dulcamara","2023-08-05","Acadia National Park, Birch Harbor, ME, US",44.33262,-68.0613778333,4,"https://www.inaturalist.org/observations/176815313","All observations"
"Broad-leafed Helleborine","Epipactis helleborine","2023-08-05","Winter Harbor, ME, USA",44.3392027778,-68.0603722222,4,"https://www.inaturalist.org/observations/176891497","All observations"
"rugosa rose","Rosa rugosa","2023-08-05","Mt Desert, ME 04660, USA",44.3171611111,-68.2000222222,NA,"https://www.inaturalist.org/observations/176895386","All observations"
"Browntail Moth","Euproctis chrysorrhoea","2023-08-05","Mt Desert, ME 04660, USA",44.2996849722,-68.218288,NA,"https://www.inaturalist.org/observations/177046295","All observations"
"glossy buckthorn","Frangula alnus","2023-08-05","Acadia National Park, Bar Harbor, ME, US",44.3612034725,-68.2298177168,4,"https://www.inaturalist.org/observations/177516559","All observations"
"rugosa rose","Rosa rugosa","2023-08-05","Nicatous Lake, Acadia National Park, Hancock County, US-ME, US",44.2293291819,-68.3130798955,692,"https://www.inaturalist.org/observations/177650279","All observations"
"common heather","Calluna vulgaris","2023-08-04","Acadia National Park, Mount Desert, ME, US",44.3194916667,-68.3170166667,16,"https://www.inaturalist.org/observations/176907014","All observations"
"bittersweet nightshade","Solanum dulcamara","2023-08-03","Winter Harbor, ME 04693, USA",44.3324059722,-68.05897,NA,"https://www.inaturalist.org/observations/176421724","All observations"
"rugosa rose","Rosa rugosa","2023-08-03","Bar Harbor",44.3208007813,-68.1887817383,4,"https://www.inaturalist.org/observations/176424638","All observations"
"rugosa rose","Rosa rugosa","2023-08-03","Acadia National Park, Southwest Harbor, ME, US",44.2287416667,-68.31098,3,"https://www.inaturalist.org/observations/176446155","All observations"
"rugosa rose","Rosa rugosa","2023-08-03","Acadia National Park, Southwest Harbor, ME, US",44.2287133333,-68.311005,4,"https://www.inaturalist.org/observations/176535382","All observations"
"purple crownvetch","Securigera varia","2023-08-02","Bar Harbor",44.3526611328,-68.2261657715,4,"https://www.inaturalist.org/observations/176290686","All observations"
"bird's-foot trefoil","Lotus corniculatus","2023-08-02","Bar Harbor",44.3509521484,-68.2292327881,4,"https://www.inaturalist.org/observations/176291496","All observations"
"rugosa rose","Rosa rugosa","2023-08-02","Acadia National Park, Birch Harbor, ME, US",44.3652602221,-68.0763518639,4,"https://www.inaturalist.org/observations/176334069","All observations"
"common heather","Calluna vulgaris","2023-08-02","Acadia National Park, Mount Desert, ME, US",44.3194227597,-68.3169658373,11,"https://www.inaturalist.org/observations/176509005","All observations"
"bittersweet nightshade","Solanum dulcamara","2023-08-02","Acadia National Park, Bar Harbor, ME, US",44.3208583333,-68.1887366667,4,"https://www.inaturalist.org/observations/176870383","All observations"
"rugosa rose","Rosa rugosa","2023-08-02","Acadia National Park, Bar Harbor, ME, US",44.3208366667,-68.18875,14,"https://www.inaturalist.org/observations/176870422","All observations"
"bird's-foot trefoil","Lotus corniculatus","2023-08-02","Acadia National Park, Bar Harbor, ME, US",44.3256133333,-68.1867533333,47,"https://www.inaturalist.org/observations/176870466","All observations"
"Alsike clover","Trifolium hybridum","2023-08-01","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3686950014,-68.2116026242,4,"https://www.inaturalist.org/observations/176178349","All observations"
"Alsike clover","Trifolium hybridum","2023-08-01","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3690751603,-68.2117211155,4,"https://www.inaturalist.org/observations/176178583","All observations"
"bird's-foot trefoil","Lotus corniculatus","2023-07-31","Acadia National Park, Birch Harbor, ME, US",44.3374476443,-68.0600164924,3,"https://www.inaturalist.org/observations/175921490","All observations"
"rugosa rose","Rosa rugosa","2023-07-31","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3208366667,-68.1886833333,3,"https://www.inaturalist.org/observations/175966914","All observations"
"rugosa rose","Rosa rugosa","2023-07-31","Acadia National Park, Birch Harbor, ME, US",44.3329116667,-68.0615083333,4,"https://www.inaturalist.org/observations/176315513","All observations"
"glossy buckthorn","Frangula alnus","2023-07-31","Acadia National Park, Bar Harbor, ME, US",44.3654116667,-68.204225,11492,"https://www.inaturalist.org/observations/177026710","All observations"
"purple crownvetch","Securigera varia","2023-07-30","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.317375,-68.199775,4,"https://www.inaturalist.org/observations/175779758","All observations"
"great mullein","Verbascum thapsus","2023-07-30","Acadia National Park, Bar Harbor, ME, US",44.4019366667,-68.23973,4,"https://www.inaturalist.org/observations/176663004","All observations"
"rugosa rose","Rosa rugosa","2023-07-29","Mount Desert Island, Bar Harbor, ME, US",44.3172913045,-68.1998837181,176,"https://www.inaturalist.org/observations/175658651","All observations"
"purple crownvetch","Securigera varia","2023-07-29","Mount Desert Island, Bar Harbor, ME, US",44.3173466667,-68.1997966667,4,"https://www.inaturalist.org/observations/175846891","All observations"
"bird's-foot trefoil","Lotus corniculatus","2023-07-28","Acadia National Park, Bar Harbor, ME, US",44.330475,-68.1935283333,3583,"https://www.inaturalist.org/observations/175456243","All observations"
"rugosa rose","Rosa rugosa","2023-07-28","Nicatous Lake, Acadia National Park, Hancock County, US-ME, US",44.2291856,-68.312482,NA,"https://www.inaturalist.org/observations/175708005","All observations"
"rugosa rose","Rosa rugosa","2023-07-24","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3210237478,-68.1884641101,6,"https://www.inaturalist.org/observations/176380078","All observations"
"rugosa rose","Rosa rugosa","2023-07-23","Acadia National Park, Birch Harbor, ME, US",44.3350820616,-68.0614011828,9,"https://www.inaturalist.org/observations/174476544","All observations"
"bittersweet nightshade","Solanum dulcamara","2023-07-23","Mount Desert Island, Southwest Harbor, ME, US",44.2218666667,-68.3364716667,4,"https://www.inaturalist.org/observations/174976484","All observations"
