"common.name","scientific.name","observed.on","place.guess","latitude","longitude","cat"
"white turtlehead","Chelone glabra","2022-09-30","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3627414997,-68.2079149,"All observations"
"Broad-leafed Helleborine","Epipactis helleborine","2022-09-28","Mt Desert, ME 04660, USA",44.307808,-68.2027729722,"All observations"
"broad-leaved goldenrod","Solidago flexicaulis","2022-09-28","Mt Desert, ME 04660, USA",44.3349146997,-68.2345389,"All observations"
"Monarch","Danaus plexippus","2022-09-27","Acadia National Park, Bar Harbor, ME, US",44.3286216667,-68.1753216667,"All observations"
"Appalachian rockcap fern","Polypodium appalachianum","2022-09-25","Mt Desert, ME 04660, USA",44.324477,-68.3270629722,"All observations"
"Sea Milkwort","Lysimachia maritima","2022-09-22","Isle Au Haut, Acadia National Park, Knox County, US-ME, US",44.0274589649,-68.6487916299,"All observations"
"Monarch","Danaus plexippus","2022-09-21","Acadia National Park, Birch Harbor, ME, US",44.332621864,-68.0604207817,"All observations"
"Monarch","Danaus plexippus","2022-09-21","Acadia National Park, Birch Harbor, ME, US",44.3326129206,-68.0604065024,"All observations"
"Appalachian rockcap fern","Polypodium appalachianum","2022-09-21","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3121751165,-68.1898938306,"All observations"
"Monarch","Danaus plexippus","2022-09-21","Winter Harbor, ME 04693, USA",44.33266307,-68.06009673,"All observations"
"broad-leaved goldenrod","Solidago flexicaulis","2022-09-17","Acadia National Park, Bar Harbor, ME, US",44.3483383333,-68.2172166667,"All observations"
"rock harlequin","Capnoides sempervirens","2022-09-17","Cochrane Point, Acadia National Park, Hancock, Maine, United States",44.380451,-68.2351955833,"All observations"
"broad-leaved goldenrod","Solidago flexicaulis","2022-09-17","Bar Harbor, ME, USA",44.3490238997,-68.1894441,"All observations"
"hairy Solomon's-seal","Polygonatum pubescens","2022-09-17","Bar Harbor, ME, USA",44.3491106,-68.1893410997,"All observations"
"trailing arbutus","Epigaea repens","2022-09-17","Bar Harbor, ME, USA",44.3511109519,-68.1897210232,"All observations"
"Monarch","Danaus plexippus","2022-09-17","Bar Harbor, ME, USA",44.3294891839,-68.1822654008,"All observations"
"Monarch","Danaus plexippus","2022-09-16","Acadia National Park, Bar Harbor, ME, US",44.3077383333,-68.19223,"All observations"
"Monarch","Danaus plexippus","2022-09-14","Acadia National Park, Hancock County, US-ME, US",44.3360805999,-68.0618176811,"All observations"
"Monarch","Danaus plexippus","2022-09-12","9 Atterbury Cir, Winter Harbor, ME 04693, USA",44.336171,-68.0595186,"All observations"
"Monarch","Danaus plexippus","2022-09-12","9 Atterbury Cir, Winter Harbor, ME 04693, USA",44.336171,-68.0595186,"All observations"
"common milkweed","Asclepias syriaca","2022-09-11","Bar Harbor",44.397644043,-68.2095108032,"All observations"
"common heather","Calluna vulgaris","2022-09-10","Acadia National Park, Mount Desert, ME, US",44.31938,-68.316825,"All observations"
"Monarch","Danaus plexippus","2022-09-06","Thompson Island, Trenton, ME 04605, USA",44.4268926,-68.3655777,"All observations"
"pink lady's slipper","Cypripedium acaule","2022-09-06","Acadia National Park, Bar Harbor, ME, US",44.3348833333,-68.1919333333,"All observations"
"Monarch","Danaus plexippus","2022-09-06","Bar Harbor, ME, USA",44.3070779477,-68.1929613847,"All observations"
"fringed willowherb","Epilobium ciliatum","2022-09-04","Winter Harbor, ME 04693, USA",44.3322069722,-68.0509639722,"All observations"
"Sea Milkwort","Lysimachia maritima","2022-09-04","Winter Harbor, ME 04693, USA",44.3386369722,-68.053931,"All observations"
"common milkweed","Asclepias syriaca","2022-09-02","Bar Harbor",44.3974914551,-68.2096786499,"All observations"
"Monarch","Danaus plexippus","2022-09-02","Acadia National Park, Birch Harbor, ME, US",44.332645,-68.0595695,"All observations"
"white baneberry","Actaea pachypoda","2022-09-01","Acadia National Park, Bar Harbor, ME, US",44.3404533333,-68.2380533333,"All observations"
"blue vervain","Verbena hastata","2022-08-30","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.320880802,-68.2540594903,"All observations"
"blue vervain","Verbena hastata","2022-08-30","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3208184932,-68.2541039866,"All observations"
"Solomon's plume","Maianthemum racemosum","2022-08-26","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3639396793,-68.210506626,"All observations"
"Monarch","Danaus plexippus","2022-08-25","Acadia National Park, Birch Harbor, ME, US",44.335245,-68.0593861667,"All observations"
"Monarch","Danaus plexippus","2022-08-25","Winter Harbor, ME 04693, USA",44.3350305884,-68.0610276014,"All observations"
"Monarch","Danaus plexippus","2022-08-25","Acadia National Park, Bar Harbor, ME, US",44.3502583333,-68.2301033333,"All observations"
"Monarch","Danaus plexippus","2022-08-23","Acadia National Park, Bar Harbor, ME, US",44.3974416667,-68.2094283333,"All observations"
"Monarch","Danaus plexippus","2022-08-22","Parque Nacional Acadia, Bar Harbor, ME, US",44.3975977321,-68.2093139459,"All observations"
"American fly-honeysuckle","Lonicera canadensis","2022-08-22","Norumbega Mountain, Mt Desert, ME 04660, United States",44.3240714,-68.2956013,"All observations"
"trailing arbutus","Epigaea repens","2022-08-22","Norumbega Mountain, Mt Desert, ME 04660, United States",44.3240714,-68.2956013,"All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-08-20","Winter Harbor, ME 04693, USA",44.336114,-68.0589762,"All observations"
"Monarch","Danaus plexippus","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3364347839,-68.0618216745,"All observations"
"Monarch","Danaus plexippus","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3364580248,-68.0618071812,"All observations"
"Monarch","Danaus plexippus","2022-08-20","Winter Harbor, ME 04693, USA",44.3364625687,-68.0618116405,"All observations"
"purple crownvetch","Securigera varia","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3359960533,-68.0579885565,"All observations"
"purple crownvetch","Securigera varia","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3361260458,-68.0592680501,"All observations"
"Monarch","Danaus plexippus","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3361643036,-68.0592739139,"All observations"
"Monarch","Danaus plexippus","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3352533333,-68.0591361667,"All observations"
"Monarch","Danaus plexippus","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3353416667,-68.0592583333,"All observations"
"Scaldweed","Cuscuta gronovii","2022-08-20","Winter Harbor, ME 04693, USA",44.33337,-68.047852,"All observations"
"Roseroot","Rhodiola rosea","2022-08-20","Winter Harbor, ME 04693, USA",44.3318431,-68.0485761997,"All observations"
"Sea Milkwort","Lysimachia maritima","2022-08-20","Winter Harbor, ME 04693, USA",44.336199,-68.046468,"All observations"
"blue vervain","Verbena hastata","2022-08-20","Bar Harbor, ME 04609, United States",44.3625646,-68.2081597,"All observations"
"Jack-in-the-Pulpit","Arisaema triphyllum","2022-08-20","Hancock County, US-ME, US",44.2814822385,-68.3908448374,"All observations"
"trailing arbutus","Epigaea repens","2022-08-19","Hancock County, US-ME, US",44.3689435545,-68.2043486528,"All observations"
"broad-leaved cattail","Typha latifolia","2022-08-19","Winter Harbor, ME, USA",44.3624194444,-68.0402111111,"All observations"
"Broad-leafed Helleborine","Epipactis helleborine","2022-08-18","Acadia National Park, Birch Harbor, ME, US",44.3371866667,-68.0610195,"All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-08-13","Nicatous Lake, Acadia National Park, Hancock County, US-ME, US",44.2535480248,-68.3399066268,"All observations"
"Eastern Skunk Cabbage","Symplocarpus foetidus","2022-08-13","Acadia National Park, Southwest Harbor, ME, US",44.2329533333,-68.319305,"All observations"
"Monarch","Danaus plexippus","2022-08-12","Acadia National Park, Birch Harbor, ME, US",44.3353716667,-68.0608055,"All observations"
"common milkweed","Asclepias syriaca","2022-08-12","Acadia National Park, Birch Harbor, ME, US",44.3353716667,-68.0608055,"All observations"
"Red Sand Spurrey","Spergularia rubra","2022-08-12","Winter Harbor, ME 04693, USA",44.3368166667,-68.0619616667,"All observations"
"Monarch","Danaus plexippus","2022-08-12","Birch Harbor",44.3352355957,-68.0611495972,"All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-08-12","Acadia National Park, Mount Desert, ME, US",44.3282750314,-68.2927844493,"All observations"
"Eastern Skunk Cabbage","Symplocarpus foetidus","2022-08-12","Nicatous Lake, Acadia National Park, Hancock County, US-ME, US",44.2328443997,-68.3222561997,"All observations"
"Cucumber Root","Medeola virginiana","2022-08-11","Isle Au Haut, Acadia National Park, Knox County, US-ME, US",44.06840266,-68.63936036,"All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-08-11","Birch Harbor",44.3354492188,-68.061340332,"All observations"
"Yellow-banded Bumble Bee","Bombus terricola","2022-08-11","Acadia National Park, Birch Harbor, ME, US",44.339073021,-68.0451607425,"All observations"
"purple crownvetch","Securigera varia","2022-08-11","Birch Harbor",44.3352050781,-68.0609817505,"All observations"
"Monarch","Danaus plexippus","2022-08-11","Birch Harbor",44.3352355957,-68.0609664917,"All observations"
"Monarch","Danaus plexippus","2022-08-11","Acadia National Park, Birch Harbor, ME, US",44.335195,-68.0609361667,"All observations"
"Yellow-banded Bumble Bee","Bombus terricola","2022-08-11","Acadia National Park, Birch Harbor, ME, US",44.3390962775,-68.0451277055,"All observations"
"blue vervain","Verbena hastata","2022-08-10","Bar Harbor, ME 04609, USA",44.3647699785,-68.208671473,"All observations"
"Eastern Skunk Cabbage","Symplocarpus foetidus","2022-08-10","Mount Desert Island, Southwest Harbor, ME, US",44.2271583333,-68.3209216667,"All observations"
"Eastern Skunk Cabbage","Symplocarpus foetidus","2022-08-09","Southwest Harbor, ME 04679, USA",44.2325745997,-68.3182007,"All observations"
"purple crownvetch","Securigera varia","2022-08-07","Acadia National Park, Southwest Harbor, ME, US",44.2995670986,-68.3502404004,"All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-08-07","Acadia National Park, Southwest Harbor, ME, US",44.2995586906,-68.3502658325,"All observations"
"Broad-leafed Helleborine","Epipactis helleborine","2022-08-06","Winter Harbor, ME, USA",44.3394583333,-68.0617361111,"All observations"
"Monarch","Danaus plexippus","2022-08-06","Winter Harbor, ME, USA",44.3363694444,-68.0617222222,"All observations"
"Monarch","Danaus plexippus","2022-08-06","Winter Harbor, ME, USA",44.33635,-68.0617611111,"All observations"
"broad-leaved cattail","Typha latifolia","2022-08-06","Winter Harbor, ME, USA",44.3390277778,-68.0626666667,"All observations"
"flat-topped goldenrod","Euthamia graminifolia","2022-08-06","Winter Harbor, ME, USA",44.338831285,-68.0456292119,"All observations"
"Sea Milkwort","Lysimachia maritima","2022-08-05","Arey Cove, Winter Harbor, ME, US",44.3362435147,-68.0470931698,"All observations"
"Monarch","Danaus plexippus","2022-08-05","Acadia National Park, Birch Harbor, ME, US",44.3364616667,-68.0617916667,"All observations"
"Monarch","Danaus plexippus","2022-08-05","Acadia National Park, Birch Harbor, ME, US",44.336475,-68.0617916667,"All observations"
"Monarch","Danaus plexippus","2022-08-03","Acadia National Park, Birch Harbor, ME, US",44.3367945648,-68.0618336678,"All observations"
"blue vervain","Verbena hastata","2022-08-03","Acadia National Park, Mount Desert, ME, US",44.3209533333,-68.25387,"All observations"
"Wood Lily","Lilium philadelphicum","2022-08-03","Acadia National Park, Mount Desert, ME, US",44.339255,-68.271355,"All observations"
"Broad-leafed Helleborine","Epipactis helleborine","2022-08-02","Winter Harbor, ME 04693, USA",44.3362145257,-68.0620052665,"All observations"
"Monarch","Danaus plexippus","2022-08-02","Trenton, ME 04605, USA",44.4270327696,-68.3644108706,"All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-08-01","Acadia National Park, Birch Harbor, ME, US",44.3374795626,-68.0601827454,"All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-08-01","Acadia National Park, Birch Harbor, ME, US",44.3374375194,-68.0602900075,"All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-08-01","Acadia National Park, Birch Harbor, ME, US",44.3375055711,-68.0602338114,"All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-08-01","Acadia National Park, Birch Harbor, ME, US",44.337472776,-68.0602131678,"All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-08-01","Acadia National Park, Birch Harbor, ME, US",44.3374878957,-68.0602851247,"All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-08-01","Acadia National Park, Hancock County, US-ME, US",44.3374806911,-68.0606997013,"All observations"
"Monarch","Danaus plexippus","2022-08-01","Thompson Island, Trenton, ME 04605, USA",44.4268926,-68.3655777,"All observations"
"common milkweed","Asclepias syriaca","2022-07-31","Acadia National Park, Mount Desert, ME, US",44.32047,-68.2534866667,"All observations"
"Monarch","Danaus plexippus","2022-07-31","Acadia National Park, Bar Harbor, ME, US",44.3267333333,-68.17675,"All observations"
"Wood Lily","Lilium philadelphicum","2022-07-30","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3428039551,-68.2732849121,"All observations"
"Monarch","Danaus plexippus","2022-07-30","Bar Harbor, ME 04609, USA",44.3257637,-68.1865578,"All observations"
"purple crownvetch","Securigera varia","2022-07-29","Acadia National Park, Bar Harbor, ME, US",44.3271966667,-68.1856833333,"All observations"
"common heather","Calluna vulgaris","2022-07-29","Mt Desert, ME 04660, USA",44.326821,-68.286973,"All observations"
"Monarch","Danaus plexippus","2022-07-28","Trenton, ME 04605, USA",44.426175,-68.3637483333,"All observations"
"Monarch","Danaus plexippus","2022-07-28","Trenton, ME 04605, USA",44.4269883333,-68.364375,"All observations"
"Monarch","Danaus plexippus","2022-07-28","Trenton, ME 04605, USA",44.42717,-68.3644866667,"All observations"
"shrubby St. John's-wort","Hypericum prolificum","2022-07-28","Bar Harbor, ME, USA",44.3627176636,-68.2059455176,"All observations"
"Monarch","Danaus plexippus","2022-07-28","Acadia National Park, Birch Harbor, ME, US",44.3363180571,-68.0617352855,"All observations"
"Virginia meadowbeauty","Rhexia virginica","2022-07-28","Bar Harbor, ME 04609, USA",44.401738,-68.2400279722,"All observations"
"Virginia meadowbeauty","Rhexia virginica","2022-07-28","Bar Harbor, ME 04609, USA",44.401738,-68.2400279722,"All observations"
"Virginia meadowbeauty","Rhexia virginica","2022-07-28","Bar Harbor, ME 04609, USA",44.39486,-68.2499899722,"All observations"
"Virginia meadowbeauty","Rhexia virginica","2022-07-28","Bar Harbor, ME 04609, USA",44.394772,-68.2500419722,"All observations"
"Virginia meadowbeauty","Rhexia virginica","2022-07-28","Bar Harbor, ME 04609, USA",44.394772,-68.2500419722,"All observations"
"Virginia meadowbeauty","Rhexia virginica","2022-07-28","Bar Harbor, ME 04609, USA",44.390565,-68.2364429722,"All observations"
"Virginia meadowbeauty","Rhexia virginica","2022-07-28","Bar Harbor, ME 04609, USA",44.4067509722,-68.251478,"All observations"
"trailing arbutus","Epigaea repens","2022-07-28","Bar Harbor, ME 04609, USA",44.393807,-68.251345,"All observations"
"trailing arbutus","Epigaea repens","2022-07-28","Bar Harbor, ME 04609, USA",44.389662,-68.2445629722,"All observations"
"Virginia meadowbeauty","Rhexia virginica","2022-07-28","Bar Harbor, ME 04609, USA",44.3907689722,-68.236283,"All observations"
"Virginia meadowbeauty","Rhexia virginica","2022-07-28","Bar Harbor, ME 04609, USA",44.3907919722,-68.23632,"All observations"
"Virginia meadowbeauty","Rhexia virginica","2022-07-28","Bar Harbor, ME 04609, USA",44.3906619722,-68.236348,"All observations"
"Virginia meadowbeauty","Rhexia virginica","2022-07-28","Bar Harbor, ME 04609, USA",44.3907689722,-68.2364069722,"All observations"
"Virginia meadowbeauty","Rhexia virginica","2022-07-28","Bar Harbor, ME 04609, USA",44.3984319722,-68.2348729722,"All observations"
"Virginia meadowbeauty","Rhexia virginica","2022-07-28","Bar Harbor, ME 04609, USA",44.3984489722,-68.2349179722,"All observations"
"Virginia meadowbeauty","Rhexia virginica","2022-07-28","Bar Harbor, ME 04609, USA",44.3982829722,-68.2350509722,"All observations"
"Virginia meadowbeauty","Rhexia virginica","2022-07-28","Bar Harbor, ME 04609, USA",44.398513,-68.2348779722,"All observations"
"Virginia meadowbeauty","Rhexia virginica","2022-07-28","Bar Harbor, ME 04609, USA",44.3983819722,-68.235121,"All observations"
"Virginia meadowbeauty","Rhexia virginica","2022-07-28","Bar Harbor, ME 04609, USA",44.398572,-68.235094,"All observations"
"Virginia meadowbeauty","Rhexia virginica","2022-07-28","Bar Harbor, ME 04609, USA",44.398648,-68.235191,"All observations"
"rock harlequin","Capnoides sempervirens","2022-07-28","Bar Harbor, ME 04609, USA",44.401752,-68.238301,"All observations"
"pink lady's slipper","Cypripedium acaule","2022-07-28","Bar Harbor, ME 04609, USA",44.401752,-68.238301,"All observations"
"Yellow-banded Bumble Bee","Bombus terricola","2022-07-28","Bar Harbor, ME, USA",44.3627495879,-68.2081863633,"All observations"
"Yellow-banded Bumble Bee","Bombus terricola","2022-07-28","Bar Harbor, ME, USA",44.3627495879,-68.2081863633,"All observations"
"American hog-peanut","Amphicarpaea bracteata","2022-07-28","Acadia National Park, Bar Harbor, ME, US",44.3622133333,-68.2080916667,"All observations"
"Monarch","Danaus plexippus","2022-07-27","Acadia National Park, Mount Desert, ME, US",44.3203966667,-68.253655,"All observations"
"Monarch","Danaus plexippus","2022-07-27","Acadia National Park, Birch Harbor, ME, US",44.3364542211,-68.0617678073,"All observations"
"Monarch","Danaus plexippus","2022-07-27","Acadia National Park, Birch Harbor, ME, US",44.3364522094,-68.0617470202,"All observations"
"Monarch","Danaus plexippus","2022-07-27","Acadia National Park, Birch Harbor, ME, US",44.3364476413,-68.0617397279,"All observations"
"purple crownvetch","Securigera varia","2022-07-27","Acadia National Park, Bar Harbor, ME, US",44.3269583333,-68.1858533333,"All observations"
"Bifid Hemp-nettle","Galeopsis bifida","2022-07-27","Hancock County, US-ME, US",44.2722538437,-68.3705304116,"All observations"
"yellow screwstem","Bartonia virginica","2022-07-27","Hancock County, US-ME, US",44.328462973,-68.2743004355,"All observations"
"Virginia meadowbeauty","Rhexia virginica","2022-07-26","Acadia National Park, Bar Harbor, ME, US",44.4065403059,-68.2516614224,"All observations"
"purple crownvetch","Securigera varia","2022-07-26","Acadia National Park, Mount Desert, ME, US",44.31008095,-68.2276422772,"All observations"
"Jack-in-the-Pulpit","Arisaema triphyllum","2022-07-26","Acadia National Park, Southwest Harbor, ME, US",44.3123283333,-68.3363333333,"All observations"
"Cucumber Root","Medeola virginiana","2022-07-26","Acadia National Park, Mount Desert, ME, US",44.3133416667,-68.3348166667,"All observations"
"small green wood orchid","Platanthera clavellata","2022-07-25","Acadia National Park, Mount Desert, ME, US",44.31423,-68.3354333333,"All observations"
"Oysterplant","Mertensia maritima","2022-07-25","Southwest Harbor, ME, USA",44.229052254,-68.3119980789,"All observations"
"Eastern Skunk Cabbage","Symplocarpus foetidus","2022-07-25","Southwest Harbor, ME, USA",44.229052254,-68.3119980789,"All observations"
"shrubby St. John's-wort","Hypericum prolificum","2022-07-22","Bar Harbor, ME 04609, USA",44.3582669722,-68.206164,"All observations"
"Monarch","Danaus plexippus","2022-07-22","Acadia National Park, Bar Harbor, ME, US",44.3520966667,-68.2238383333,"All observations"
"common milkweed","Asclepias syriaca","2022-07-22","Acadia National Park, Bar Harbor, ME, US",44.3521,-68.2238383333,"All observations"
"yellow screwstem","Bartonia virginica","2022-07-22","Bar Harbor, ME, USA",44.3520721597,-68.2245200515,"All observations"
"small green wood orchid","Platanthera clavellata","2022-07-21","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3236146464,-68.2499579398,"All observations"
"painted trillium","Trillium undulatum","2022-07-21","Mt Desert, ME, USA",44.3361857933,-68.25466021,"All observations"
"common milkweed","Asclepias syriaca","2022-07-19","Sorrento",44.3969764709,-68.2112197876,"All observations"
"Jack-in-the-Pulpit","Arisaema triphyllum","2022-07-19","Bar Harbor, ME 04609, USA",44.36268899,-68.20809005,"All observations"
"flat-topped goldenrod","Euthamia graminifolia","2022-07-19","Southwest Harbor, ME, USA",44.2412705658,-68.3067790438,"All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-07-18","Acadia National Park, Birch Harbor, ME, US",44.3358768874,-68.0613753253,"All observations"
"common milkweed","Asclepias syriaca","2022-07-18","Acadia National Park, Bar Harbor, ME, US",44.3975,-68.2097633333,"All observations"
"Eastern Skunk Cabbage","Symplocarpus foetidus","2022-07-18","Acadia National Park, Southwest Harbor, ME, US",44.2326666667,-68.3184883333,"All observations"
"Monarch","Danaus plexippus","2022-07-16","Cadillac Mountain, Bar Harbor, ME 04609, USA",44.3525816,-68.2251036,"All observations"
"Sea Milkwort","Lysimachia maritima","2022-07-16","Winter Harbor, ME, USA",44.3370392834,-68.0510583705,"All observations"
"Roseroot","Rhodiola rosea","2022-07-16","Little Moose Island, Acadia National Park, Hancock, Maine, United States",44.3321722222,-68.0508194444,"All observations"
"fringed willowherb","Epilobium ciliatum","2022-07-16","Winter Harbor, ME, USA",44.3334524789,-68.0510757014,"All observations"
"Tufted Bulrush","Trichophorum cespitosum","2022-07-16","Winter Harbor, ME, USA",44.3327549223,-68.0504485183,"All observations"
"small green wood orchid","Platanthera clavellata","2022-07-16","Winter Harbor, ME, USA",44.3405928801,-68.0570008719,"All observations"
"American fly-honeysuckle","Lonicera canadensis","2022-07-15","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.32688625,-68.27027465,"All observations"
"Alsike clover","Trifolium hybridum","2022-07-15","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.31998383,-68.26815591,"All observations"
"Monarch","Danaus plexippus","2022-07-15","Gouldsboro, ME, USA",44.3977303614,-68.2095985877,"All observations"
"common milkweed","Asclepias syriaca","2022-07-15","Gouldsboro, ME, USA",44.3976065248,-68.2095575082,"All observations"
"Solomon's plume","Maianthemum racemosum","2022-07-14","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3668245469,-68.2084057488,"All observations"
"Eastern Skunk Cabbage","Symplocarpus foetidus","2022-07-14","Southwest Harbor, ME 04679, USA",44.23300888,-68.31930632,"All observations"
"Monarch","Danaus plexippus","2022-07-14","Acadia National Park, Bar Harbor, ME, US",44.3624242399,-68.2081241636,"All observations"
"Monarch","Danaus plexippus","2022-07-14","Acadia National Park, Bar Harbor, ME, US",44.3620433144,-68.2078627153,"All observations"
"Wood Lily","Lilium philadelphicum","2022-07-13","Acadia National Park, Bar Harbor, ME, US",44.3283666667,-68.1743916667,"All observations"
"Roseroot","Rhodiola rosea","2022-07-13","Acadia National Park, Birch Harbor, ME, US",44.3366736751,-68.0636608507,"All observations"
"common milkweed","Asclepias syriaca","2022-07-12","Acadia National Park, Bar Harbor, ME, US",44.3976118771,-68.2094592728,"All observations"
"Monarch","Danaus plexippus","2022-07-12","Acadia National Park, Bar Harbor, ME, US",44.4052151465,-68.2578023994,"All observations"
"fringed willowherb","Epilobium ciliatum","2022-07-11","Winter Harbor, ME, USA",44.3326460653,-68.0610290393,"All observations"
"Eastern Skunk Cabbage","Symplocarpus foetidus","2022-07-08","Southwest Harbor, ME 04679, USA",44.2274972222,-68.3215694444,"All observations"
"purple crownvetch","Securigera varia","2022-07-08","Acadia National Park, Mount Desert, ME, US",44.3102871348,-68.2037046925,"All observations"
"purple crownvetch","Securigera varia","2022-07-08","Bar Harbor, ME 04609, USA",44.326334,-68.1863299722,"All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-07-08","Bar Harbor, ME 04609, USA",44.3173409722,-68.19628,"All observations"
"common milkweed","Asclepias syriaca","2022-07-07","Bar Harbor, ME 04609, USA",44.3765638889,-68.2502444444,"All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-07-06","Acadia National Park, Birch Harbor, ME, US",44.3361366667,-68.0617666667,"All observations"
"common milkweed","Asclepias syriaca","2022-07-06","Acadia National Park, Birch Harbor, ME, US",44.3364033333,-68.061775,"All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-07-06","Birch Harbor",44.3349761963,-68.0606155396,"All observations"
"purple crownvetch","Securigera varia","2022-07-06","Acadia National Park, Hancock County, US-ME, US",44.3388671875,-68.0597229004,"All observations"
"Monarch","Danaus plexippus","2022-07-05","9 Atterbury Cir, Winter Harbor, ME 04693, USA",44.336171,-68.0595186,"All observations"
"purple crownvetch","Securigera varia","2022-07-05","Bar Harbor, ME 04609, USA",44.3273027778,-68.1854305556,"All observations"
"Eastern Skunk Cabbage","Symplocarpus foetidus","2022-07-04","Nicatous Lake, Acadia National Park, Hancock County, US-ME, US",44.2327211407,-68.3184211913,"All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-07-03","Trenton, ME 04605, USA",44.427055945,-68.3664095029,"All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-07-01","Winter Harbor, ME 04693, USA",44.33562375,-68.05969436,"All observations"
"common milkweed","Asclepias syriaca","2022-07-01","Acadia National Park, Bar Harbor, ME, US",44.3779540775,-68.2527705488,"All observations"
"bird's-foot trefoil","Lotus corniculatus","2022-07-01","Acadia National Park, Bar Harbor, ME, US",44.3303808459,-68.1770871323,"All observations"
"eastern poison ivy","Toxicodendron radicans","2022-07-01","Acadia National Park, Bar Harbor, ME, US",44.3158216667,-68.1908633333,"All observations"
"common milkweed","Asclepias syriaca","2022-06-30","Acadia National Park, Bar Harbor, ME, US",44.376575,-68.2502133333,"All observations"
"Monarch","Danaus plexippus","2022-06-30","Acadia National Park, Bar Harbor, ME, US",44.3975986122,-68.2097703405,"All observations"
"Monarch","Danaus plexippus","2022-06-30","Acadia National Park, Bar Harbor, ME, US",44.3975503322,-68.2097631321,"All observations"
