"common.name","scientific.name","observed.on","place.guess","latitude","longitude","cat"
"rugosa rose","Rosa rugosa","2022-08-24","Acadia National Park, Bar Harbor, ME, US",44.329690517,-68.1836115188,"All observations"
"rugosa rose","Rosa rugosa","2022-08-24","Mount Desert Island, Southwest Harbor, ME, US",44.2219283333,-68.3373633333,"All observations"
"bittersweet nightshade","Solanum dulcamara","2022-08-22","Acadia National Park, Bar Harbor, ME, US",44.3810254,-68.23047445,"All observations"
"colt's-foot","Tussilago farfara","2022-08-22","Norumbega Mountain, Mt Desert, ME 04660, United States",44.3240714,-68.2956013,"All observations"
"rugosa rose","Rosa rugosa","2022-08-19","Acadia National Park, Southwest Harbor, ME, US",44.2293415452,-68.3130155225,"All observations"
"rugosa rose","Rosa rugosa","2022-08-19","Acadia National Park, Bar Harbor, ME, US",44.3616029204,-68.2208466072,"All observations"
"rugosa rose","Rosa rugosa","2022-08-19","Winter Harbor, ME, USA",44.33295,-68.0617305556,"All observations"
"rugosa rose","Rosa rugosa","2022-08-19","Winter Harbor, ME, USA",44.3329444444,-68.0617472222,"All observations"
"bittersweet nightshade","Solanum dulcamara","2022-08-19","Winter Harbor, ME, USA",44.3330333333,-68.0613888889,"All observations"
"rugosa rose","Rosa rugosa","2022-08-18","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3289778502,-68.1841687966,"All observations"
"rugosa rose","Rosa rugosa","2022-08-18","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3174133301,-68.1994781494,"All observations"
"rugosa rose","Rosa rugosa","2022-08-18","Hancock County, US-ME, US",44.3189716626,-68.2337339356,"All observations"
"rugosa rose","Rosa rugosa","2022-08-18","Acadia National Park, Birch Harbor, ME, US",44.3336381919,-68.0586487135,"All observations"
"rugosa rose","Rosa rugosa","2022-08-16","Bar Harbor, ME 04609, USA",44.31733071,-68.19985874,"All observations"
"rugosa rose","Rosa rugosa","2022-08-16","Acadia National Park, Southwest Harbor, ME, US",44.2294966667,-68.3128583333,"All observations"
"rugosa rose","Rosa rugosa","2022-08-16","Southwest Harbor, ME, USA",44.2290366667,-68.31247,"All observations"
"rugosa rose","Rosa rugosa","2022-08-15","Birch Harbor",44.3444213867,-68.0648727417,"All observations"
"rugosa rose","Rosa rugosa","2022-08-12","Mount Desert Island, Bar Harbor, ME, US",44.4023744841,-68.2773861778,"All observations"
"rugosa rose","Rosa rugosa","2022-08-12","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3208732605,-68.1887664795,"All observations"
"colt's-foot","Tussilago farfara","2022-08-11","Bar Harbor, ME 04609, USA",44.3173158,-68.1963037,"All observations"
"bittersweet nightshade","Solanum dulcamara","2022-08-11","Acadia National Park, Birch Harbor, ME, US",44.3337080162,-68.0639847369,"All observations"
"rugosa rose","Rosa rugosa","2022-08-11","Bass Harbor, ME 04653, USA",44.2219583333,-68.3373944444,"All observations"
"narrow-leaved bittercress","Cardamine impatiens","2022-08-11","Nicatous Lake, Acadia National Park, Hancock County, US-ME, US",44.3233722135,-68.33180541,"All observations"
"rugosa rose","Rosa rugosa","2022-08-11","Bar Harbor, ME 04609, USA",44.3097804403,-68.1894896552,"All observations"
"rugosa rose","Rosa rugosa","2022-08-11","Acadia National Park, Birch Harbor, ME, US",44.33875,-68.0454778333,"All observations"
"rugosa rose","Rosa rugosa","2022-08-11","Acadia National Park, Birch Harbor, ME, US",44.3393598007,-68.0519710901,"All observations"
"rugosa rose","Rosa rugosa","2022-08-10","Acadia National Park, Hancock County, US-ME, US",44.3378295898,-68.0593566895,"All observations"
"bittersweet nightshade","Solanum dulcamara","2022-08-10","Acadia National Park, Birch Harbor, ME, US",44.33378,-68.0638888333,"All observations"
"rugosa rose","Rosa rugosa","2022-08-10","Mount Desert Island, Southwest Harbor, ME, US",44.2287095734,-68.3121072866,"All observations"
"rugosa rose","Rosa rugosa","2022-08-09","Southwest Harbor, ME 04679, USA",44.2297188,-68.3126852,"All observations"
"rugosa rose","Rosa rugosa","2022-08-08","Mount Desert Island, Bar Harbor, ME, US",44.3173333333,-68.199975,"All observations"
"colt's-foot","Tussilago farfara","2022-08-08","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3100365578,-68.2220655867,"All observations"
"colt's-foot","Tussilago farfara","2022-08-08","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3103379695,-68.2220169933,"All observations"
"rugosa rose","Rosa rugosa","2022-08-06","Bar Harbor, ME 04609, USA",44.3108732416,-68.1891258806,"All observations"
"bittersweet nightshade","Solanum dulcamara","2022-08-06","Winter Harbor, ME, USA",44.3759178817,-68.0751750999,"All observations"
"bittersweet nightshade","Solanum dulcamara","2022-08-06","Winter Harbor, ME, USA",44.3328746062,-68.0611609651,"All observations"
"rugosa rose","Rosa rugosa","2022-08-06","Winter Harbor, ME, USA",44.3328746062,-68.0611609651,"All observations"
"rugosa rose","Rosa rugosa","2022-08-06","Winter Harbor, ME, USA",44.3328746062,-68.0611609651,"All observations"
"rugosa rose","Rosa rugosa","2022-08-06","Winter Harbor, ME, USA",44.3375,-68.0522888889,"All observations"
"Browntail Moth","Euproctis chrysorrhoea","2022-08-02","Trenton, ME 04605, USA",44.4266425975,-68.3647121949,"All observations"
"Browntail Moth","Euproctis chrysorrhoea","2022-08-02","Trenton, ME 04605, USA",44.4266535822,-68.3647294225,"All observations"
"rugosa rose","Rosa rugosa","2022-08-01","Acadia National Park, Birch Harbor, ME, US",44.3427312795,-68.0600541609,"All observations"
"rugosa rose","Rosa rugosa","2022-07-31","Acadia National Park, Birch Harbor, ME, US",44.376155,-68.0750195,"All observations"
"rugosa rose","Rosa rugosa","2022-07-30","Acadia National Park, Birch Harbor, ME, US",44.3652991997,-68.0762640574,"All observations"
"bittersweet nightshade","Solanum dulcamara","2022-07-29","Acadia National Park, Bar Harbor, ME, US",44.3307716667,-68.18483,"All observations"
"rugosa rose","Rosa rugosa","2022-07-29","Acadia National Park, Bar Harbor, ME, US",44.32077,-68.188745,"All observations"
"rugosa rose","Rosa rugosa","2022-07-29","Mount Desert Island, Bar Harbor, ME, US",44.3174833333,-68.1995916667,"All observations"
"rugosa rose","Rosa rugosa","2022-07-29","Acadia National Park",44.3388017424,-68.2733348384,"All observations"
"rugosa rose","Rosa rugosa","2022-07-29","Acadia National Park",44.3388017424,-68.2733348384,"All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-07-29","Bar Harbor, ME, USA",44.3583900605,-68.206592136,"All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-07-29","Bar Harbor, ME, USA",44.3592787299,-68.2058559722,"All observations"
"Browntail Moth","Euproctis chrysorrhoea","2022-07-28","Acadia National Park, Birch Harbor, ME, US",44.33649634,-68.0616118201,"All observations"
"rugosa rose","Rosa rugosa","2022-07-28","Bar Harbor, ME 04609, USA",44.3109449722,-68.1890819722,"All observations"
"bittersweet nightshade","Solanum dulcamara","2022-07-27","Schoodic Point, Acadia National Park, Hancock County, US-ME, US",44.3324018643,-68.0590109155,"All observations"
"rugosa rose","Rosa rugosa","2022-07-26","Mount Desert Island, Bar Harbor, ME, US",44.3173966667,-68.1996616667,"All observations"
"bittersweet nightshade","Solanum dulcamara","2022-07-26","Acadia National Park, Bar Harbor, ME, US",44.3208783333,-68.188705,"All observations"
"rugosa rose","Rosa rugosa","2022-07-25","Southwest Harbor, ME, USA",44.229052254,-68.3119980789,"All observations"
"rugosa rose","Rosa rugosa","2022-07-24","Bar Harbor, ME 04609, USA",44.3288638,-68.1840282,"All observations"
"rugosa rose","Rosa rugosa","2022-07-24","Maine, US",44.3702931333,-68.0626518482,"All observations"
"bittersweet nightshade","Solanum dulcamara","2022-07-24","Southwest Harbor, ME, USA",44.3061062506,-68.3154227831,"All observations"
"rugosa rose","Rosa rugosa","2022-07-24","Southwest Harbor, ME, USA",44.3061062506,-68.3154227831,"All observations"
"Bull Thistle","Cirsium vulgare","2022-07-22","Bar Harbor, ME 04609, USA",44.358499,-68.2068849722,"All observations"
"rugosa rose","Rosa rugosa","2022-07-21","Bass Harbor Head Lighthouse",44.2220515789,-68.3373004943,"All observations"
"rugosa rose","Rosa rugosa","2022-07-19","Acadia National Park, Bar Harbor, ME, US",44.3208366667,-68.188295,"All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-07-18","Acadia National Park, Bar Harbor, ME, US",44.39738,-68.2099133333,"All observations"
"bittersweet nightshade","Solanum dulcamara","2022-07-18","Acadia National Park, Bar Harbor, ME, US",44.3314748176,-68.176836242,"All observations"
"rugosa rose","Rosa rugosa","2022-07-18","Acadia National Park, Southwest Harbor, ME, US",44.2296116667,-68.3128366667,"All observations"
"rugosa rose","Rosa rugosa","2022-07-18","Acadia National Park, Southwest Harbor, ME, US",44.2294966667,-68.3144133333,"All observations"
"rugosa rose","Rosa rugosa","2022-07-15","Acadia National Park, Bar Harbor, ME, US",44.3606885663,-68.2315067109,"All observations"
"rugosa rose","Rosa rugosa","2022-07-12","Acadia National Park, Winter Harbor, ME, US",44.3372533333,-68.0519945,"All observations"
"rugosa rose","Rosa rugosa","2022-07-12","Acadia National Park, Bass Harbor, ME, US",44.2422,-68.2996533333,"All observations"
"bittersweet nightshade","Solanum dulcamara","2022-07-09","Acadia National Park, Bar Harbor, ME, US",44.326625,-68.1766366667,"All observations"
"multiflora rose","Rosa multiflora","2022-07-08","Southwest Harbor, ME 04679, USA",44.2292638889,-68.3230916667,"All observations"
"rugosa rose","Rosa rugosa","2022-07-08","Mount Desert Island, Bar Harbor, ME, US",44.3173913425,-68.1994843204,"All observations"
"rugosa rose","Rosa rugosa","2022-07-08","Mount Desert Island, Bar Harbor, ME, US",44.3172514905,-68.1999987178,"All observations"
"bittersweet nightshade","Solanum dulcamara","2022-07-08","Bar Harbor, ME 04609, USA",44.3108789722,-68.189166,"All observations"
"rugosa rose","Rosa rugosa","2022-07-07","Acadia National Park, Birch Harbor, ME, US",44.3367383696,-68.0616185735,"All observations"
"rugosa rose","Rosa rugosa","2022-07-07","Acadia National Park, Bar Harbor, ME, US",44.3529883333,-68.224,"All observations"
"colt's-foot","Tussilago farfara","2022-07-06","Acadia National Park, Hancock County, US-ME, US",44.3388175964,-68.0598144531,"All observations"
"rugosa rose","Rosa rugosa","2022-07-06","Birch Harbor",44.3374290466,-68.0590820313,"All observations"
"bittersweet nightshade","Solanum dulcamara","2022-07-05","Bar Harbor, ME 04609, USA",44.3500694444,-68.2243888889,"All observations"
"rugosa rose","Rosa rugosa","2022-07-05","Bar Harbor, ME 04609, USA",44.317440657,-68.1995311752,"All observations"
"bittersweet nightshade","Solanum dulcamara","2022-07-05","Bar Harbor, ME 04609, USA",44.3174560096,-68.1994942948,"All observations"
"rugosa rose","Rosa rugosa","2022-07-04","Acadia National Park, Hancock County, US-ME, US",44.2302512104,-68.3130432706,"All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-07-03","Acadia National Park, Bar Harbor, ME, US",44.39735,-68.2098833333,"All observations"
"rugosa rose","Rosa rugosa","2022-07-03","Acadia National Park, Bar Harbor, ME, US",44.30928,-68.1892466667,"All observations"
"rugosa rose","Rosa rugosa","2022-07-03","Bar Harbor",44.3522071838,-68.2238082886,"All observations"
"rugosa rose","Rosa rugosa","2022-07-03","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.32070352,-68.1886456,"All observations"
"rugosa rose","Rosa rugosa","2022-07-01","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3288650513,-68.1843414307,"All observations"
"rugosa rose","Rosa rugosa","2022-07-01","Winter Harbor, ME 04693, USA",44.37589386,-68.07554186,"All observations"
"rugosa rose","Rosa rugosa","2022-07-01","Winter Harbor, ME 04693, USA",44.37598065,-68.0755133,"All observations"
"bittersweet nightshade","Solanum dulcamara","2022-07-01","Acadia National Park, Bar Harbor, ME, US",44.3157166667,-68.19082,"All observations"
"bittersweet nightshade","Solanum dulcamara","2022-07-01","Acadia National Park, Mount Desert, ME, US",44.3392962027,-68.2724807348,"All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-06-30","Acadia National Park, Bar Harbor, ME, US",44.3974761597,-68.2096651555,"All observations"
"bittersweet nightshade","Solanum dulcamara","2022-06-30","Bar Harbor, ME 04609, USA",44.3522924,-68.2243918,"All observations"
"rugosa rose","Rosa rugosa","2022-06-29","Winter Harbor, ME 04693, USA",44.3667461878,-68.0580610782,"All observations"
"rugosa rose","Rosa rugosa","2022-06-29","Acadia National Park, Southwest Harbor, ME, US",44.229295,-68.3128883333,"All observations"
"rugosa rose","Rosa rugosa","2022-06-28","Acadia National Park, Birch Harbor, ME, US",44.3387033333,-68.0524305,"All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-06-28","Bar Harbor, ME 04609, USA",44.3978012997,-68.2087472997,"All observations"
"rugosa rose","Rosa rugosa","2022-06-27","Acadia National Park, Bar Harbor, ME, US",44.324955,-68.1866216667,"All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-06-27","Bar Harbor, ME 04609, USA",44.3173328,-68.1910508997,"All observations"
"rugosa rose","Rosa rugosa","2022-06-26","Acadia National Park, Southwest Harbor, ME, US",44.2294,-68.312875,"All observations"
"rugosa rose","Rosa rugosa","2022-06-26","Acadia National Park, Southwest Harbor, ME, US",44.2386466667,-68.3015133333,"All observations"
"rugosa rose","Rosa rugosa","2022-06-26","Acadia National Park, Southwest Harbor, ME, US",44.229375,-68.3130633333,"All observations"
"Browntail Moth","Euproctis chrysorrhoea","2022-06-25","Acadia National Park, Mount Desert, ME, US",44.3257115,-68.292376,"All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-06-25","Acadia National Park, Bar Harbor, ME, US",44.3172083333,-68.1911866667,"All observations"
"rugosa rose","Rosa rugosa","2022-06-25","Acadia National Park, Bar Harbor, ME, US",44.32548,-68.1865833333,"All observations"
"rugosa rose","Rosa rugosa","2022-06-24","Acadia National Park, Bar Harbor, ME, US",44.3109208716,-68.189113616,"All observations"
"rugosa rose","Rosa rugosa","2022-06-22","Bar Harbor",44.319152832,-68.1899261475,"All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-06-22","Bar Harbor",44.3172340393,-68.1911621094,"All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-06-22","Bar Harbor, ME 04609, USA",44.31722842,-68.19113141,"All observations"
"rugosa rose","Rosa rugosa","2022-06-22","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.31910625,-68.18986194,"All observations"
"rugosa rose","Rosa rugosa","2022-06-22","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3208383429,-68.18872,"All observations"
"rugosa rose","Rosa rugosa","2022-06-21","Acadia National Park, Southwest Harbor, ME, US",44.22907,-68.3124166667,"All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-06-21","Bar Harbor, ME 04609, USA",44.3981751278,-68.2083563134,"All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-06-20","Acadia National Park, Bar Harbor, ME, US",44.3976317276,-68.2094038059,"All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-06-20","Acadia National Park, Bar Harbor, ME, US",44.3702366667,-68.2068416667,"All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-06-20","Acadia National Park, Bar Harbor, ME, US",44.370555,-68.2064366667,"All observations"
"bittersweet nightshade","Solanum dulcamara","2022-06-18","Acadia National Park, Birch Harbor, ME, US",44.3437536017,-68.0665509594,"All observations"
"rugosa rose","Rosa rugosa","2022-06-18","Acadia National Park, Southwest Harbor, ME, US",44.2290978971,-68.3124824768,"All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-06-18","Bar Harbor, ME 04609, USA",44.39738016,-68.20954058,"All observations"
"rugosa rose","Rosa rugosa","2022-06-18","Acadia National Park, Bar Harbor, ME, US",44.3071556794,-68.1909525033,"All observations"
"rugosa rose","Rosa rugosa","2022-06-17","Thunder Hole",44.3111306648,-68.18941053,"All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-06-17","Acadia National Park, Hancock County, US-ME, US",44.2229899193,-68.3363073947,"All observations"
"rugosa rose","Rosa rugosa","2022-06-16","Acadia National Park, Hancock County, US-ME, US",44.2229899193,-68.3363073947,"All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-06-15","Winter Harbor, ME 04693, USA",44.338157,-68.058695,"All observations"
"rugosa rose","Rosa rugosa","2022-06-15","9 Schoodic Shores, Winter Harbor, ME 04693, USA",44.337338,-68.059273,"All observations"
"Browntail Moth","Euproctis chrysorrhoea","2022-06-14","Acadia National Park, Bar Harbor, ME, US",44.3622166667,-68.20793,"All observations"
"rugosa rose","Rosa rugosa","2022-06-14","Winter Harbor, ME 04693, USA",44.33688129,-68.05894875,"All observations"
"rugosa rose","Rosa rugosa","2022-06-14","Mt Desert, ME, USA",44.3017780875,-68.206617404,"All observations"
"rugosa rose","Rosa rugosa","2022-06-13","Bar Harbor",44.3188438416,-68.1902236938,"All observations"
"rugosa rose","Rosa rugosa","2022-06-13","Little Moose Island, Acadia National Park, Hancock County, US-ME, US",44.3372627119,-68.0517214729,"All observations"
"rugosa rose","Rosa rugosa","2022-06-13","Winter Harbor, ME, USA",44.3373833333,-68.0519555556,"All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-06-13","Acadia National Park, Bar Harbor, ME, US",44.317245,-68.1911783333,"All observations"
"rugosa rose","Rosa rugosa","2022-06-11","Acadia National Park, Bass Harbor, ME, US",44.2418381735,-68.299945383,"All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-06-10","Acadia National Park, Mount Desert, ME, US",44.3203416667,-68.254075,"All observations"
"rugosa rose","Rosa rugosa","2022-06-09","Seawall Pond, Bass Harbor, ME, US",44.2421236413,-68.2998496405,"All observations"
"rugosa rose","Rosa rugosa","2022-06-07","Mount Desert Island, Southwest Harbor, ME, US",44.2221751378,-68.3372391594,"All observations"
"rugosa rose","Rosa rugosa","2022-06-07","Mount Desert Island, Southwest Harbor, ME, US",44.229225,-68.3129966667,"All observations"
"rugosa rose","Rosa rugosa","2022-06-07","Acadia National Park, Southwest Harbor, ME, US",44.2371558362,-68.3021333584,"All observations"
"colt's-foot","Tussilago farfara","2022-06-06","Jordan Pond, Mount Desert, ME, US",44.3302333333,-68.2516783333,"All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-06-06","Acadia National Park, Bar Harbor, ME, US",44.3694166667,-68.2058633333,"All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-06-06","Acadia National Park, Bar Harbor, ME, US",44.3693416667,-68.2058116667,"All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-06-06","Acadia National Park, Bar Harbor, ME, US",44.3693466667,-68.2058333333,"All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-06-05","Acadia National Park, Bar Harbor, ME, US",44.3697040425,-68.2060129049,"All observations"
"rugosa rose","Rosa rugosa","2022-06-05","Acadia National Park, Birch Harbor, ME, US",44.3652459714,-68.0763035322,"All observations"
"rugosa rose","Rosa rugosa","2022-06-05","Blue Hill",44.2867050171,-68.4008560181,"All observations"
"rugosa rose","Rosa rugosa","2022-06-04","Southwest Harbor",44.2220077515,-68.3374938965,"All observations"
"rugosa rose","Rosa rugosa","2022-06-03","Wonderland, Southwest Harbor, ME 04679, USA",44.2337543,-68.319981,"All observations"
"rugosa rose","Rosa rugosa","2022-06-02","Acadia National Park, Bar Harbor, ME, US",44.3207583333,-68.1889116667,"All observations"
"Browntail Moth","Euproctis chrysorrhoea","2022-06-02","Acadia National Park, Bar Harbor, ME, US",44.4160616667,-68.3102283333,"All observations"
"rugosa rose","Rosa rugosa","2022-06-01","Mt Desert, ME 04660, USA",44.3174175997,-68.1989188997,"All observations"
"rugosa rose","Rosa rugosa","2022-06-01","Mt Desert, ME 04660, USA",44.3384665066,-68.2733348384,"All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-05-31","Bar Harbor, ME 04609, USA",44.39732549,-68.20987281,"All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-05-31","Gouldsboro, ME, USA",44.3976615564,-68.2094251073,"All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-05-27","Acadia National Park, Bar Harbor, ME, US",44.3736923089,-68.236068685,"All observations"
"mountain fly-honeysuckle","Lonicera villosa","2022-05-25","Winter Harbor, ME, USA",44.3584017924,-68.0761635001,"All observations"
"rugosa rose","Rosa rugosa","2022-05-23","Southwest Harbor",44.22240448,-68.3367004395,"All observations"
"Large-leaved lupine","Lupinus polyphyllus","2022-05-23","Bar Harbor, ME 04609, USA",44.3675835893,-68.2037551327,"All observations"
"Browntail Moth","Euproctis chrysorrhoea","2022-05-22","Bar Harbor, ME 04609, USA",44.3212,-68.1886,"All observations"
"rugosa rose","Rosa rugosa","2022-05-14","Southwest Harbor, ME 04679, USA",44.2287447246,-68.3117977157,"All observations"
"garlic mustard","Alliaria petiolata","2022-05-08","Acadia National Park, Bar Harbor, ME, US",44.41733,-68.3116383333,"All observations"
"rugosa rose","Rosa rugosa","2022-05-05","Bar Harbor, ME 04609, USA",44.3108976997,-68.1891379997,"All observations"
"colt's-foot","Tussilago farfara","2022-05-03","Maine, USA",44.3385559,-68.2733346,"All observations"
"colt's-foot","Tussilago farfara","2022-04-02","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3291472222,-68.1840027778,"All observations"
"creeping thistle","Cirsium arvense","2021-10-23","Mount Desert",44.3084373474,-68.2301330566,"All observations"
"glossy buckthorn","Frangula alnus","2021-10-21","Southwest Harbor",44.254322052,-68.3467559814,"All observations"
"glossy buckthorn","Frangula alnus","2021-10-21","Hancock County, US-ME, US",44.2544364929,-68.346534729,"All observations"
"glossy buckthorn","Frangula alnus","2021-10-21","Southwest Harbor",44.256401062,-68.3473129272,"All observations"
"glossy buckthorn","Frangula alnus","2021-10-21","Nicatous Lake, Acadia National Park, Hancock County, US-ME, US",44.2562828064,-68.3476104736,"All observations"
"glossy buckthorn","Frangula alnus","2021-10-21","Nicatous Lake, Acadia National Park, Hancock County, US-ME, US",44.2562828064,-68.3476104736,"All observations"
"glossy buckthorn","Frangula alnus","2021-10-21","Hancock County, US-ME, US",44.2544364929,-68.346534729,"All observations"
"glossy buckthorn","Frangula alnus","2021-10-21","Nicatous Lake, Acadia National Park, Hancock County, US-ME, US",44.2565193176,-68.3471603394,"All observations"
"glossy buckthorn","Frangula alnus","2021-10-21","Southwest Harbor",44.2565193176,-68.3471603394,"All observations"
"glossy buckthorn","Frangula alnus","2021-10-21","Nicatous Lake, Acadia National Park, Hancock County, US-ME, US",44.2562522888,-68.348236084,"All observations"
"glossy buckthorn","Frangula alnus","2021-10-21","Acadia National Park, Hancock County, US-ME, US",44.2565154352,-68.3469053979,"All observations"
"glossy buckthorn","Frangula alnus","2021-10-21","Nicatous Lake, Acadia National Park, Hancock County, US-ME, US",44.2565335197,-68.3471151588,"All observations"
"glossy buckthorn","Frangula alnus","2021-10-21","Mount Desert Island, Southwest Harbor, ME, US",44.2546258495,-68.3469227516,"All observations"
